theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 1.93317 1.31819e-17 2.05164e-18 -3.27943e-05 1.29716e-17 1.93099 -7.37352e-05 -7.73646e-19 1.7799e-18 7.37352e-05 1.93099 2.07582e-18 -3.27999e-05 9.29605e-19 -1.21232e-18 1.92883 6.81882e-18 1.06129e-18 -1.6964e-05 6.71004e-18 0.998872 -3.81422e-05 -4.00196e-19 9.20719e-19 3.81422e-05 0.998872 1.07379e-18 -1.69669e-05 4.80872e-19 -6.27114e-19 0.997757
0.1 1.91397e-05 1.93315 -9.50225e-07 3.14485e-11 -3.27939e-05 -9.50223e-07 1.93097 -7.37345e-05 -4.1212e-11 -3.04158e-11 7.37345e-05 1.93097 1.85014e-06 -3.27995e-05 -3.26819e-11 -1.85014e-06 1.92882 -4.91542e-07 1.6268e-11 -1.6964e-05 -4.91541e-07 0.998872 -3.81421e-05 -2.13186e-11 -1.57338e-11 3.81421e-05 0.998872 9.57059e-07 -1.69669e-05 -1.6906e-11 -9.57057e-07 0.997757
0.2 3.82793e-05 1.93311 -3.80079e-06 1.2579e-10 -3.27929e-05 -3.80078e-06 1.93093 -7.37324e-05 -1.64844e-10 -1.21658e-10 7.37324e-05 1.93093 7.40044e-06 -3.27985e-05 -1.30725e-10 -7.40042e-06 1.92877 -1.96615e-06 6.50711e-11 -1.69638e-05 -1.96614e-06 0.998872 -3.81419e-05 -8.52742e-11 -6.29338e-11 3.81419e-05 0.998872 3.82825e-06 -1.69667e-05 -6.76241e-11 -3.82825e-06 0.997757
0.3 5.74188e-05 1.93304 -8.55133e-06 2.83011e-10 -3.27913e-05 -8.55131e-06 1.93086 -7.3729e-05 -3.70886e-10 -2.73711e-10 7.3729e-05 1.93086 1.66505e-05 -3.27968e-05 -2.94121e-10 -1.66505e-05 1.92871 -4.42377e-06 1.46407e-10 -1.69636e-05 -4.42376e-06 0.998872 -3.81414e-05 -1.91867e-10 -1.41596e-10 3.81414e-05 0.998872 8.61364e-06 -1.69664e-05 -1.52154e-10 -8.61362e-06 0.997757
0.4 7.65581e-05 1.93294 -1.52013e-05 5.03091e-10 -3.27889e-05 -1.52012e-05 1.93076 -7.37241e-05 -6.5932e-10 -4.86549e-10 7.37241e-05 1.93076 2.95998e-05 -3.27944e-05 -5.22856e-10 -2.95997e-05 1.92861 -7.86432e-06 2.60272e-10 -1.69632e-05 -7.8643e-06 0.998872 -3.81409e-05 -3.41096e-10 -2.51714e-10 3.81409e-05 0.998872 1.53133e-05 -1.69661e-05 -2.70497e-10 -1.53133e-05 0.997757
0.5 9.56972e-05 1.93282 -2.37498e-05 7.86e-10 -3.27859e-05 -2.37498e-05 1.93064 -7.37179e-05 -1.03012e-09 -7.60134e-10 7.37179e-05 1.93064 4.62473e-05 -3.27914e-05 -8.16911e-10 -4.62472e-05 1.92848 -1.22877e-05 4.0666e-10 -1.69628e-05 -1.22876e-05 0.998872 -3.81401e-05 -5.32963e-10 -3.93277e-10 3.81401e-05 0.998872 2.39274e-05 -1.69656e-05 -4.22653e-10 -2.39273e-05 0.997757
0.6 0.000114836 1.93267 -3.41959e-05 1.1317e-09 -3.27823e-05 -3.41959e-05 1.93049 -7.37103e-05 -1.48326e-09 -1.09442e-09 7.37103e-05 1.93049 6.6592e-05 -3.27877e-05 -1.17626e-09 -6.65919e-05 1.92833 -1.76937e-05 5.85565e-10 -1.69622e-05 -1.76936e-05 0.998872 -3.81392e-05 -7.67466e-10 -5.66275e-10 3.81392e-05 0.998872 3.4456e-05 -1.6965e-05 -6.08622e-10 -3.4456e-05 0.997757
0.7 0.000133974 1.93249 -4.65383e-05 1.54015e-09 -3.2778e-05 -4.65382e-05 1.93031 -7.37014e-05 -2.01868e-09 -1.48935e-09 7.37014e-05 1.93031 9.06324e-05 -3.27833e-05 -1.60088e-09 -9.06323e-05 1.92815 -2.40821e-05 7.96977e-10 -1.69615e-05 -2.4082e-05 0.998872 -3.81381e-05 -1.04461e-09 -7.70692e-10 3.81381e-05 0.998872 4.68994e-05 -1.69643e-05 -8.28405e-10 -4.68993e-05 0.997757
0.8 0.000153112 1.93228 -6.07755e-05 2.01128e-09 -3.2773e-05 -6.07753e-05 1.9301 -7.3691e-05 -2.63636e-09 -1.94486e-09 7.3691e-05 1.9301 0.000118367 -3.27782e-05 -2.09073e-09 -0.000118367 1.92794 -3.14528e-05 1.04089e-09 -1.69608e-05 -3.14527e-05 0.998872 -3.81369e-05 -1.36438e-09 -1.00651e-09 3.81369e-05 0.998872 6.12578e-05 -1.69635e-05 -1.082e-09 -6.12577e-05 0.997757
0.9 0.00017225 1.93204 -7.69057e-05 2.54504e-09 -3.27673e-05 -7.69055e-05 1.92986 -7.36793e-05 -3.33624e-09 -2.46086e-09 7.36793e-05 1.92986 0.000149794 -3.27725e-05 -2.64577e-09 -0.000149794 1.92771 -3.98054e-05 1.31728e-09 -1.69599e-05 -3.98053e-05 0.998872 -3.81355e-05 -1.72679e-09 -1.27371e-09 3.81355e-05 0.998872 7.75315e-05 -1.69626e-05 -1.36942e-09 -7.75314e-05 0.997757
