theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.0400503 0 0 1.52341e-07 0 0.0399154 1.72966e-08 0 0 -1.72966e-08 0.0399154 0 1.51899e-07 0 0 0.0397805 0 0 3.80373e-06 0 0.996631 4.31871e-07 0 0 -4.31871e-07 0.996631 0 3.7927e-06 0 0 0.993263
0.1 1.91397e-05 0.0400502 -4.38573e-08 -2.2765e-14 1.5234e-07 -4.38573e-08 0.0399153 1.72966e-08 -1.03848e-13 5.03912e-14 -1.72966e-08 0.0399153 -1.00458e-09 1.51899e-07 -2.11755e-13 1.00458e-09 0.0397804 -1.09506e-06 -5.68411e-13 3.80373e-06 -1.09506e-06 0.996631 4.31873e-07 -2.59295e-12 1.2582e-12 -4.31873e-07 0.996631 -2.5083e-08 3.7927e-06 -5.28722e-12 2.50831e-08 0.993263
0.2 3.82793e-05 0.0400499 -1.75428e-07 -9.10616e-14 1.52339e-07 -1.75428e-07 0.039915 1.72967e-08 -4.15394e-13 2.01571e-13 -1.72967e-08 0.039915 -4.01832e-09 1.51897e-07 -8.47011e-13 4.01833e-09 0.0397801 -4.38023e-06 -2.2737e-12 3.80372e-06 -4.38023e-06 0.996631 4.31878e-07 -1.03719e-11 5.03299e-12 -4.31878e-07 0.996631 -1.00333e-07 3.79269e-06 -2.11489e-11 1.00333e-07 0.993263
0.3 5.74188e-05 0.0400494 -3.94709e-07 -2.04892e-13 1.52336e-07 -3.94708e-07 0.0399145 1.72968e-08 -9.34621e-13 4.53528e-13 -1.72968e-08 0.0399145 -9.04122e-09 1.51895e-07 -1.90575e-12 9.04125e-09 0.0397796 -9.85554e-06 -5.11599e-12 3.80371e-06 -9.85553e-06 0.996631 4.31886e-07 -2.33367e-11 1.13242e-11 -4.31886e-07 0.996631 -2.25752e-07 3.79269e-06 -4.75851e-11 2.25752e-07 0.993262
0.4 7.65581e-05 0.0400487 -7.01693e-07 -3.64258e-13 1.52333e-07 -7.01693e-07 0.0399138 1.72969e-08 -1.66151e-12 8.06262e-13 -1.72969e-08 0.0399138 -1.60733e-08 1.51892e-07 -3.38795e-12 1.60733e-08 0.0397789 -1.7521e-05 -9.09537e-12 3.8037e-06 -1.7521e-05 0.996631 4.31898e-07 -4.14873e-11 2.0132e-11 -4.31898e-07 0.996631 -4.01343e-07 3.79268e-06 -8.45959e-11 4.01345e-07 0.993262
0.5 9.56972e-05 0.0400478 -1.09637e-06 -5.69161e-13 1.52329e-07 -1.09637e-06 0.0399128 1.72971e-08 -2.59603e-12 1.25977e-12 -1.72971e-08 0.0399128 -2.51145e-08 1.51888e-07 -5.29357e-12 2.51146e-08 0.0397779 -2.73767e-05 -1.42121e-11 3.80368e-06 -2.73766e-05 0.996631 4.31912e-07 -6.48235e-11 3.14566e-11 -4.31912e-07 0.996631 -6.27114e-07 3.79266e-06 -1.32181e-10 6.27116e-07 0.993262
0.6 0.000114836 0.0400466 -1.57874e-06 -8.1961e-13 1.52324e-07 -1.57874e-06 0.0399117 1.72974e-08 -3.73815e-12 1.81402e-12 -1.72974e-08 0.0399117 -3.61649e-08 1.51883e-07 -7.62255e-12 3.6165e-08 0.0397768 -3.94225e-05 -2.04664e-11 3.80366e-06 -3.94225e-05 0.996631 4.31931e-07 -9.3345e-11 4.52977e-11 -4.31931e-07 0.996631 -9.0307e-07 3.79264e-06 -1.90342e-10 9.03072e-07 0.993262
0.7 0.000133974 0.0400453 -2.14878e-06 -1.11561e-12 1.52317e-07 -2.14878e-06 0.0399104 1.72976e-08 -5.08783e-12 2.46902e-12 -1.72976e-08 0.0399104 -4.92245e-08 1.51877e-07 -1.03748e-11 4.92246e-08 0.0397755 -5.36587e-05 -2.78586e-11 3.80363e-06 -5.36587e-05 0.99663 4.31952e-07 -1.27052e-10 6.16558e-11 -4.31952e-07 0.99663 -1.22922e-06 3.79262e-06 -2.59077e-10 1.22922e-06 0.993262
0.8 0.000153112 0.0400437 -2.80648e-06 -1.45716e-12 1.5231e-07 -2.80648e-06 0.0399088 1.7298e-08 -6.645e-12 3.22476e-12 -1.7298e-08 0.0399088 -6.42932e-08 1.5187e-07 -1.35503e-11 6.42934e-08 0.0397739 -7.00853e-05 -3.63892e-11 3.8036e-06 -7.00852e-05 0.99663 4.31977e-07 -1.65944e-10 8.05309e-11 -4.31977e-07 0.99663 -1.60557e-06 3.7926e-06 -3.38389e-10 1.60558e-06 0.993262
0.9 0.00017225 0.040042 -3.55181e-06 -1.84427e-12 1.52302e-07 -3.55181e-06 0.0399071 1.72983e-08 -8.40961e-12 4.0812e-12 -1.72983e-08 0.0399071 -8.13711e-08 1.51862e-07 -1.7149e-11 8.13714e-08 0.0397722 -8.87022e-05 -4.60585e-11 3.80356e-06 -8.87022e-05 0.99663 4.32005e-07 -2.1002e-10 1.01923e-10 -4.32005e-07 0.99663 -2.03215e-06 3.79257e-06 -4.28275e-10 2.03215e-06 0.993262
