theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 2118.12 1.32282e-14 5.15983e-17 0.33857 1.32772e-14 2117.29 -2.26156 -2.38881e-16 1.56587e-16 2.26156 2117.29 6.03319e-16 0.338552 1.93081e-16 -5.74223e-16 2116.91 6.24525e-18 2.43603e-20 0.000159844 6.26835e-18 0.999608 -0.00106772 -1.12779e-19 7.39273e-20 0.00106772 0.999608 2.84836e-19 0.000159835 9.11564e-20 -2.711e-19 0.999427
0.1 1.91397e-05 2117.27 -0.00316344 0.000412763 0.338563 -0.00314392 2116.44 -2.26094 8.40355e-05 0.000416709 2.26094 2116.44 0.0277795 0.338538 -0.000111782 -0.0277825 2116.06 -1.49411e-06 1.9495e-07 0.000159906 -1.48489e-06 0.999608 -0.00106786 3.96905e-08 1.96814e-07 0.00106786 0.999608 1.31204e-05 0.000159894 -5.27953e-08 -1.31218e-05 0.999427
0.2 3.82793e-05 2114.71 -0.012641 0.0016495 0.338542 -0.012563 2113.88 -2.25909 0.000335731 0.0016653 2.25909 2113.88 0.111003 0.338497 -0.000446649 -0.111015 2113.5 -5.97765e-06 7.80014e-07 0.000160089 -5.94075e-06 0.999607 -0.00106827 1.5876e-07 7.87485e-07 0.00106827 0.999607 5.24909e-05 0.000160068 -2.11211e-07 -5.24965e-05 0.999426
0.3 5.74188e-05 2110.45 -0.0283945 0.00370559 0.338506 -0.0282191 2109.62 -2.25602 0.000753855 0.0037412 2.25602 2109.62 0.249327 0.338428 -0.00100317 -0.249353 2109.24 -1.34542e-05 1.75583e-06 0.000160395 -1.33711e-05 0.999607 -0.00106897 3.57201e-07 1.7727e-06 0.00106897 0.999607 0.000118139 0.000160358 -4.75334e-07 -0.000118152 0.999425
0.4 7.65581e-05 2104.5 -0.0503604 0.0065733 0.338454 -0.0500492 2103.67 -2.25171 0.00133636 0.00663677 2.25171 2103.67 0.442179 0.338329 -0.00177896 -0.442225 2103.29 -2.39298e-05 3.12345e-06 0.000160824 -2.3782e-05 0.999606 -0.00106995 6.35002e-07 3.15361e-06 0.00106995 0.999606 0.000210111 0.000160764 -8.45312e-07 -0.000210133 0.999424
0.5 9.56972e-05 2096.87 -0.0784503 0.0102419 0.338383 -0.0779652 2096.04 -2.24617 0.0020804 0.0103414 2.24617 2096.04 0.688762 0.338198 -0.0027707 -0.688833 2095.66 -3.7413e-05 4.88438e-06 0.000161375 -3.71817e-05 0.999604 -0.0010712 9.92147e-07 4.93181e-06 0.0010712 0.999604 0.000328471 0.000161287 -1.32135e-06 -0.000328505 0.999422
0.6 0.000114836 2087.58 -0.112551 0.0146977 0.338292 -0.111855 2086.75 -2.23941 0.00298234 0.0148414 2.23941 2086.75 0.988059 0.338031 -0.00397415 -0.98816 2086.37 -5.39147e-05 7.04053e-06 0.00016205 -5.3581e-05 0.999603 -0.00107273 1.42861e-06 7.1094e-06 0.00107273 0.999603 0.000473303 0.000161925 -1.90371e-06 -0.000473352 0.99942
0.7 0.000133974 2076.65 -0.152526 0.0199239 0.338177 -0.151581 2075.82 -2.23142 0.00403777 0.0201204 2.23142 2075.82 1.33883 0.337826 -0.00538416 -1.33897 2075.44 -7.34483e-05 9.59426e-06 0.000162847 -7.29932e-05 0.999601 -0.00107453 1.94437e-06 9.6889e-06 0.00107453 0.999601 0.000644709 0.000162678 -2.59272e-06 -0.000644775 0.999417
0.8 0.000153112 2064.1 -0.198215 0.025901 0.338035 -0.196985 2063.27 -2.22221 0.00524154 0.026159 2.2222 2063.27 1.73964 0.337577 -0.00699469 -1.73982 2062.89 -9.603e-05 1.25484e-05 0.000163769 -9.54343e-05 0.999599 -0.0010766 2.53939e-06 1.26733e-05 0.0010766 0.999598 0.00084281 0.000163547 -3.38874e-06 -0.000842895 0.999414
0.9 0.00017225 2049.95 -0.249435 0.0326068 0.337862 -0.247885 2049.12 -2.21177 0.00658777 0.0329351 2.21176 2049.12 2.18883 0.337282 -0.00879886 -2.18905 2048.74 -0.000121678 1.59061e-05 0.000164815 -0.000120923 0.999596 -0.00107894 3.21362e-06 1.60663e-05 0.00107893 0.999596 0.00106775 0.000164531 -4.29223e-06 -0.00106785 0.99941
