theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 33.857 1.32957e-16 4.90082e-17 -0.00214155 1.42427e-16 33.7604 -0.0782591 -2.20158e-17 5.16874e-17 0.0782591 33.7604 1.72393e-17 -0.00214253 2.04218e-17 -1.80376e-17 33.6964 3.92702e-18 1.44751e-18 -6.32527e-05 4.20671e-18 0.997147 -0.00231146 -6.50259e-19 1.52664e-18 0.00231146 0.997147 5.09178e-19 -6.32817e-05 6.03177e-19 -5.32757e-19 0.995257
0.1 1.91397e-05 33.855 -8.0524e-05 1.06084e-08 -0.00214185 -8.03332e-05 33.7584 -0.0782533 1.08554e-08 -2.45237e-07 0.0782533 33.7584 0.000148594 -0.00214301 -1.89194e-08 -0.000148791 33.6944 -2.3785e-06 3.13347e-10 -6.32653e-05 -2.37286e-06 0.997147 -0.00231143 3.20645e-10 -7.24374e-09 0.00231143 0.997147 4.38912e-06 -6.32996e-05 -5.58837e-10 -4.39495e-06 0.995257
0.2 3.82793e-05 33.8489 -0.000322053 4.24011e-08 -0.00214273 -0.00032129 33.7523 -0.0782359 4.34509e-08 -9.80773e-07 0.0782359 33.7523 0.00059428 -0.00214444 -7.56006e-08 -0.00059507 33.6884 -9.51443e-06 1.25266e-09 -6.33028e-05 -9.49189e-06 0.997147 -0.00231133 1.28367e-09 -2.8975e-08 0.00231133 0.997147 1.75568e-05 -6.33532e-05 -2.23347e-09 -1.75802e-05 0.995256
0.3 5.74188e-05 33.8388 -0.00072446 9.52808e-08 -0.00214421 -0.000722744 33.7422 -0.0782069 9.78735e-08 -2.20609e-06 0.0782069 33.7422 0.00133678 -0.00214682 -1.69812e-07 -0.00133855 33.6783 -2.14092e-05 2.81573e-09 -6.33654e-05 -2.13584e-05 0.997146 -0.00231116 2.89235e-09 -6.5194e-08 0.00231116 0.997146 3.95042e-05 -6.34426e-05 -5.01827e-09 -3.95567e-05 0.995256
0.4 7.65581e-05 33.8246 -0.00128753 1.69086e-07 -0.00214627 -0.00128448 33.7281 -0.0781664 1.74269e-07 -3.9203e-06 0.0781664 33.7281 0.00237561 -0.00215015 -3.01169e-07 -0.00237876 33.6642 -3.80649e-05 4.9989e-09 -6.3453e-05 -3.79747e-05 0.997146 -0.00231093 5.15213e-09 -1.15901e-07 0.00231093 0.997146 7.02331e-05 -6.35677e-05 -8.90384e-09 -7.03264e-05 0.995256
0.5 9.56972e-05 33.8064 -0.00201097 2.6359e-07 -0.00214893 -0.00200621 33.7099 -0.0781142 2.7284e-07 -6.12221e-06 0.0781142 33.7099 0.00371011 -0.00215443 -4.69133e-07 -0.00371504 33.646 -5.94848e-05 7.79703e-09 -6.35656e-05 -5.9344e-05 0.997146 -0.00231063 8.07065e-09 -1.81096e-07 0.00231063 0.997146 0.000109746 -6.37286e-05 -1.3877e-08 -0.000109892 0.995256
0.6 0.000114836 33.7842 -0.00289439 3.78502e-07 -0.00215217 -0.00288754 33.6877 -0.0780506 3.93847e-07 -8.81024e-06 0.0780506 33.6877 0.00533945 -0.00215966 -6.73012e-07 -0.00534654 33.6239 -8.56729e-05 1.12035e-08 -6.37034e-05 -8.54701e-05 0.997145 -0.00231027 1.16577e-08 -2.6078e-07 0.00231027 0.997145 0.000158046 -6.39252e-05 -1.99209e-08 -0.000158256 0.995256
0.7 0.000133974 33.7579 -0.00393732 5.13469e-07 -0.00215599 -0.00392801 33.6615 -0.0779754 5.37607e-07 -1.19825e-05 0.0779754 33.6615 0.00726257 -0.00216583 -9.11965e-07 -0.00727221 33.5977 -0.000116634 1.52103e-08 -6.38662e-05 -0.000116358 0.997144 -0.00230984 1.59254e-08 -3.54953e-07 0.00230984 0.997144 0.000215137 -6.41577e-05 -2.70149e-08 -0.000215423 0.995256
0.8 0.000153112 33.7276 -0.00513922 6.68073e-07 -0.0021604 -0.00512707 33.6313 -0.0778887 7.04496e-07 -1.56367e-05 0.0778887 33.6313 0.00947825 -0.00217293 -1.185e-06 -0.00949084 33.5676 -0.000152374 1.98079e-08 -6.40542e-05 -0.000152014 0.997143 -0.00230935 2.08878e-08 -4.63616e-07 0.00230935 0.997143 0.000281024 -6.4426e-05 -3.51344e-08 -0.000281397 0.995256
0.9 0.00017225 33.6933 -0.00649944 8.41834e-07 -0.00216538 -0.00648408 33.597 -0.0777906 8.94941e-07 -1.97702e-05 0.0777906 33.597 0.0119851 -0.00218097 -1.49097e-06 -0.012001 33.5335 -0.0001929 2.49852e-08 -6.42674e-05 -0.000192444 0.997143 -0.00230878 2.65614e-08 -5.8677e-07 0.00230879 0.997142 0.000355711 -6.47301e-05 -4.42513e-08 -0.000356184 0.995255
