theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.00952585 0 0 2.64147e-08 0 0.0094897 3.57719e-09 0 0 -3.57719e-09 0.0094897 0 2.65249e-08 0 0 0.00945356 0 0 2.77295e-06 0 0.996206 3.75524e-07 0 0 -3.75524e-07 0.996206 0 2.78452e-06 0 0 0.992412
0.1 1.91397e-05 0.00952582 -1.24464e-08 -3.00669e-15 2.64146e-08 -1.24464e-08 0.00948968 3.57719e-09 -1.44015e-14 4.16853e-15 -3.57719e-09 0.00948968 -2.90203e-10 2.65248e-08 -3.32108e-14 2.90202e-10 0.00945354 -1.3066e-06 -3.15635e-13 2.77295e-06 -1.30659e-06 0.996206 3.75525e-07 -1.51184e-12 4.37604e-13 -3.75525e-07 0.996206 -3.04648e-08 2.78452e-06 -3.4864e-12 3.04648e-08 0.992412
0.2 3.82793e-05 0.00952576 -4.97854e-08 -1.20275e-14 2.64144e-08 -4.97853e-08 0.00948962 3.57719e-09 -5.76098e-14 1.66704e-14 -3.57719e-09 0.00948962 -1.16081e-09 2.65247e-08 -1.32842e-13 1.1608e-09 0.00945348 -5.22639e-06 -1.26263e-12 2.77295e-06 -5.22639e-06 0.996206 3.75528e-07 -6.04779e-12 1.75004e-12 -3.75528e-07 0.996206 -1.2186e-07 2.78452e-06 -1.39456e-11 1.2186e-07 0.992412
0.3 5.74188e-05 0.00952566 -1.12016e-07 -2.70609e-14 2.64141e-08 -1.12016e-07 0.00948951 3.5772e-09 -1.29621e-13 3.75074e-14 -3.5772e-09 0.00948951 -2.6118e-09 2.65244e-08 -2.98892e-13 2.6118e-09 0.00945337 -1.17594e-05 -2.84085e-12 2.77295e-06 -1.17594e-05 0.996206 3.75533e-07 -1.36075e-11 3.93751e-12 -3.75533e-07 0.996206 -2.74186e-07 2.78452e-06 -3.13775e-11 2.74185e-07 0.992412
0.4 7.65581e-05 0.00952551 -1.99137e-07 -4.81113e-14 2.64137e-08 -1.99137e-07 0.00948937 3.57721e-09 -2.30432e-13 6.66784e-14 -3.57721e-09 0.00948937 -4.64316e-09 2.6524e-08 -5.31358e-13 4.64316e-09 0.00945323 -2.09057e-05 -5.05078e-12 2.77294e-06 -2.09057e-05 0.996205 3.7554e-07 -2.41911e-11 6.99998e-12 -3.7554e-07 0.996205 -4.87445e-07 2.78452e-06 -5.57826e-11 4.87444e-07 0.992411
0.5 9.56972e-05 0.00952533 -3.11147e-07 -7.51758e-14 2.64132e-08 -3.11147e-07 0.00948918 3.57722e-09 -3.60042e-13 1.04183e-13 -3.57722e-09 0.00948918 -7.25487e-09 2.65235e-08 -8.30231e-13 7.25486e-09 0.00945304 -3.26653e-05 -7.8922e-12 2.77294e-06 -3.26652e-05 0.996205 3.75549e-07 -3.77984e-11 1.09375e-11 -3.75549e-07 0.996205 -7.6164e-07 2.78452e-06 -8.71604e-11 7.61639e-07 0.992411
0.6 0.000114836 0.0095251 -4.48044e-07 -1.08257e-13 2.64125e-08 -4.48043e-07 0.00948895 3.57724e-09 -5.18443e-13 1.50022e-13 -3.57724e-09 0.00948895 -1.04469e-08 2.65228e-08 -1.19551e-12 1.04469e-08 0.00945281 -4.70382e-05 -1.13654e-11 2.77294e-06 -4.70382e-05 0.996205 3.7556e-07 -5.44292e-11 1.57501e-11 -3.7556e-07 0.996205 -1.09677e-06 2.78452e-06 -1.25511e-10 1.09677e-06 0.992411
0.7 0.000133974 0.00952483 -6.09824e-07 -1.47354e-13 2.64117e-08 -6.09823e-07 0.00948868 3.57726e-09 -7.05632e-13 2.04192e-13 -3.57726e-09 0.00948868 -1.42192e-08 2.65221e-08 -1.62717e-12 1.42192e-08 0.00945254 -6.40246e-05 -1.54705e-11 2.77294e-06 -6.40246e-05 0.996205 3.75572e-07 -7.40835e-11 2.14378e-11 -3.75572e-07 0.996205 -1.49285e-06 2.78452e-06 -1.70835e-10 1.49285e-06 0.992411
0.8 0.000153112 0.00952451 -7.96484e-07 -1.9247e-13 2.64108e-08 -7.96483e-07 0.00948837 3.57729e-09 -9.21604e-13 2.66692e-13 -3.57729e-09 0.00948837 -1.85717e-08 2.65212e-08 -2.12523e-12 1.85716e-08 0.00945223 -8.36246e-05 -2.02079e-11 2.77293e-06 -8.36245e-05 0.996205 3.75587e-07 -9.67612e-11 2.80006e-11 -3.75587e-07 0.996205 -1.94988e-06 2.78452e-06 -2.23132e-10 1.94988e-06 0.992411
0.9 0.00017225 0.00952416 -1.00802e-06 -2.43605e-13 2.64098e-08 -1.00802e-06 0.00948802 3.57731e-09 -1.16635e-12 3.37525e-13 -3.57731e-09 0.00948802 -2.35043e-08 2.65202e-08 -2.68965e-12 2.35043e-08 0.00945188 -0.000105838 -2.55776e-11 2.77293e-06 -0.000105838 0.996205 3.75604e-07 -1.22462e-10 3.54388e-11 -3.75604e-07 0.996205 -2.46786e-06 2.78452e-06 -2.82403e-10 2.46786e-06 0.992411
