theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 4.07721e-10 0 0 6.2355e-17 0 4.06784e-10 -1.59299e-19 0 0 1.59299e-19 4.06784e-10 0 6.26563e-17 0 0 4.05847e-10 0 0 1.52936e-07 0 0.997702 -3.90707e-10 0 0 3.90707e-10 0.997702 0 1.53675e-07 0 0 0.995404
0.1 1.91397e-05 4.0772e-10 -6.17321e-16 0 6.2355e-17 -6.18983e-16 4.06783e-10 -1.59299e-19 0 0 1.59299e-19 4.06783e-10 0 6.26563e-17 0 0 4.05846e-10 -1.51408e-06 0 1.52936e-07 -1.51816e-06 0.997702 -3.90708e-10 0 0 3.90708e-10 0.997702 0 1.53675e-07 0 0 0.995404
0.2 3.82793e-05 4.07718e-10 -2.47899e-15 0 6.24653e-17 -2.47902e-15 4.06781e-10 -1.59299e-19 0 0 1.59299e-19 4.06781e-10 0 6.26563e-17 0 0 4.05844e-10 -6.08015e-06 0 1.53207e-07 -6.08022e-06 0.997702 -3.9071e-10 0 0 3.9071e-10 0.997702 0 1.53675e-07 0 0 0.995404
0.3 5.74188e-05 4.07715e-10 -5.57367e-15 0 6.24405e-17 -5.57495e-15 4.06778e-10 -1.59299e-19 0 0 1.59299e-19 4.06778e-10 0 6.2355e-17 0 0 4.05841e-10 -1.36705e-05 0 1.53147e-07 -1.36736e-05 0.997702 -3.90713e-10 0 0 3.90713e-10 0.997702 0 1.52938e-07 0 0 0.995404
0.4 7.65581e-05 4.07711e-10 -9.909e-15 0 6.24405e-17 -9.90771e-15 4.06774e-10 -1.59299e-19 0 0 1.59299e-19 4.06774e-10 0 6.26003e-17 0 0 4.05837e-10 -2.4304e-05 0 1.53149e-07 -2.43008e-05 0.997702 -3.90717e-10 0 0 3.90717e-10 0.997702 0 1.53541e-07 0 0 0.995404
0.5 9.56972e-05 4.07705e-10 -1.54813e-14 0 6.2265e-17 -1.54822e-14 4.06768e-10 -1.59299e-19 0 0 1.59299e-19 4.06768e-10 0 6.27106e-17 0 0 4.05831e-10 -3.79719e-05 0 1.52721e-07 -3.79739e-05 0.997702 -3.90722e-10 0 0 3.90722e-10 0.997702 0 1.53814e-07 0 0 0.995404
0.6 0.000114836 4.07698e-10 -2.22921e-14 0 6.25522e-17 -2.22924e-14 4.06761e-10 -1.59299e-19 0 0 1.59299e-19 4.06761e-10 0 6.28457e-17 0 0 4.05825e-10 -5.46779e-05 0 1.53428e-07 -5.46787e-05 0.997702 -3.90729e-10 0 0 3.90729e-10 0.997702 0 1.54147e-07 0 0 0.995404
0.7 0.000133974 4.0769e-10 -3.03439e-14 0 6.24467e-17 -3.03436e-14 4.06753e-10 -1.59299e-19 0 0 1.59299e-19 4.06753e-10 1.44445e-34 6.23054e-17 0 -1.44445e-34 4.05817e-10 -7.44287e-05 0 1.53172e-07 -7.44281e-05 0.997702 -3.90737e-10 0 0 3.90737e-10 0.997702 3.543e-25 1.52825e-07 0 -3.543e-25 0.995404
0.8 0.000153112 4.07681e-10 -3.96303e-14 0 6.24258e-17 -3.96327e-14 4.06744e-10 -1.59299e-19 0 0 1.59299e-19 4.06744e-10 3.61112e-34 6.23054e-17 0 -3.61112e-34 4.05807e-10 -9.72091e-05 0 1.53124e-07 -9.72149e-05 0.997702 -3.90745e-10 0 0 3.90745e-10 0.997702 8.85771e-25 1.52829e-07 0 -8.85771e-25 0.995404
0.9 0.00017225 4.0767e-10 -5.01572e-14 0 6.2883e-17 -5.01576e-14 4.06733e-10 -1.59299e-19 0 0 1.59299e-19 4.06733e-10 1.92593e-34 6.24781e-17 0 -2.88889e-34 4.05797e-10 -0.000123034 0 1.5425e-07 -0.000123035 0.997702 -3.90756e-10 0 0 3.90756e-10 0.997702 4.72423e-25 1.53256e-07 0 -7.08635e-25 0.995404
