theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.00399643 0 0 9.70539e-09 0 0.00398176 8.25455e-10 0 0 -8.25455e-10 0.00398176 0 9.71266e-09 0 0 0.00396709 0 0 2.42851e-06 0 0.996328 2.06548e-07 0 0 -2.06548e-07 0.996328 0 2.43033e-06 0 0 0.992657
0.1 1.91397e-05 0.00399642 -5.4759e-09 -8.20746e-16 9.70537e-09 -5.47589e-09 0.00398175 8.25455e-10 -5.8793e-15 7.04939e-16 -8.25455e-10 0.00398175 -7.56292e-11 9.71264e-09 -1.10222e-14 7.56291e-11 0.00396708 -1.3702e-06 -2.0537e-13 2.42851e-06 -1.3702e-06 0.996328 2.06548e-07 -1.47114e-12 1.76393e-13 -2.06548e-07 0.996328 -1.89242e-08 2.43033e-06 -2.75802e-12 1.89242e-08 0.992657
0.2 3.82793e-05 0.0039964 -2.19035e-08 -3.28286e-15 9.70531e-09 -2.19035e-08 0.00398173 8.25454e-10 -2.35175e-14 2.81775e-15 -8.25454e-10 0.00398173 -3.02516e-10 9.71259e-09 -4.40862e-14 3.02515e-10 0.00396706 -5.4808e-06 -8.21454e-13 2.42851e-06 -5.4808e-06 0.996328 2.06549e-07 -5.88467e-12 7.05072e-13 -2.06549e-07 0.996328 -7.56971e-08 2.43033e-06 -1.10315e-11 7.56969e-08 0.992657
0.3 5.74188e-05 0.00399636 -4.92825e-08 -7.38435e-15 9.70521e-09 -4.92824e-08 0.00398169 8.25454e-10 -5.29148e-14 6.33844e-15 -8.25454e-10 0.00398169 -6.80657e-10 9.71249e-09 -9.91932e-14 6.80655e-10 0.00396701 -1.23318e-05 -1.84777e-12 2.42851e-06 -1.23318e-05 0.996328 2.06552e-07 -1.32408e-11 1.58605e-12 -2.06552e-07 0.996328 -1.70319e-07 2.43033e-06 -2.48209e-11 1.70319e-07 0.992657
0.4 7.65581e-05 0.0039963 -8.76123e-08 -1.31287e-14 9.70507e-09 -8.76122e-08 0.00398163 8.25454e-10 -9.40689e-14 1.12685e-14 -8.25454e-10 0.00398163 -1.21005e-09 9.71236e-09 -1.76341e-13 1.21004e-09 0.00396696 -2.19233e-05 -3.28522e-12 2.42851e-06 -2.19233e-05 0.996328 2.06555e-07 -2.3539e-11 2.81973e-12 -2.06555e-07 0.996328 -3.02792e-07 2.43034e-06 -4.41261e-11 3.02791e-07 0.992657
0.5 9.56972e-05 0.00399623 -1.36892e-07 -2.05136e-14 9.70489e-09 -1.36892e-07 0.00398156 8.25454e-10 -1.4698e-13 1.76065e-14 -8.25454e-10 0.00398156 -1.89068e-09 9.71218e-09 -2.75529e-13 1.89068e-09 0.00396689 -3.42554e-05 -5.13323e-12 2.42851e-06 -3.42553e-05 0.996328 2.06558e-07 -3.67797e-11 4.40578e-12 -2.06558e-07 0.996328 -4.73116e-07 2.43034e-06 -6.89473e-11 4.73115e-07 0.992657
0.6 0.000114836 0.00399614 -1.97122e-07 -2.95407e-14 9.70467e-09 -1.97121e-07 0.00398147 8.25454e-10 -2.11645e-13 2.53521e-14 -8.25454e-10 0.00398147 -2.72254e-09 9.71197e-09 -3.96753e-13 2.72254e-09 0.0039668 -4.9328e-05 -7.39232e-12 2.42851e-06 -4.9328e-05 0.996328 2.06563e-07 -5.29624e-11 6.34414e-12 -2.06563e-07 0.996328 -6.81293e-07 2.43034e-06 -9.92839e-11 6.81292e-07 0.992657
0.7 0.000133974 0.00399604 -2.68299e-07 -4.02083e-14 9.7044e-09 -2.68299e-07 0.00398136 8.25454e-10 -2.88064e-13 3.45063e-14 -8.25454e-10 0.00398136 -3.70563e-09 9.71172e-09 -5.40013e-13 3.70562e-09 0.00396669 -6.71413e-05 -1.00621e-11 2.42851e-06 -6.71412e-05 0.996328 2.06568e-07 -7.20874e-11 8.63512e-12 -2.06568e-07 0.996328 -9.27327e-07 2.43034e-06 -1.35137e-10 9.27325e-07 0.992657
0.8 0.000153112 0.00399591 -3.50423e-07 -5.25188e-14 9.7041e-09 -3.50423e-07 0.00398124 8.25454e-10 -3.76234e-13 4.50685e-14 -8.25454e-10 0.00398124 -4.83993e-09 9.71144e-09 -7.05304e-13 4.83992e-09 0.00396657 -8.76954e-05 -1.31431e-11 2.42851e-06 -8.76953e-05 0.996328 2.06575e-07 -9.41548e-11 1.12786e-11 -2.06575e-07 0.996328 -1.21122e-06 2.43034e-06 -1.76506e-10 1.21122e-06 0.992657
0.9 0.00017225 0.00399578 -4.43493e-07 -6.64705e-14 9.70376e-09 -4.43492e-07 0.0039811 8.25454e-10 -4.76152e-13 5.7039e-14 -8.25454e-10 0.0039811 -6.12542e-09 9.71111e-09 -8.92622e-13 6.1254e-09 0.00396643 -0.00011099 -1.66352e-11 2.4285e-06 -0.00011099 0.996328 2.06582e-07 -1.19164e-10 1.42748e-11 -2.06582e-07 0.996328 -1.53297e-06 2.43034e-06 -2.23391e-10 1.53297e-06 0.992657
1 0.000191387 0.00399562 -5.47506e-07 -8.20638e-14 9.70338e-09 -5.47506e-07 0.00398095 8.25454e-10 -5.87816e-13 7.04177e-14 -8.25454e-10 0.00398095 -7.56208e-09 9.71075e-09 -1.10196e-12 7.56207e-09 0.00396628 -0.000137026 -2.05384e-11 2.4285e-06 -0.000137026 0.996328 2.0659e-07 -1.47115e-10 1.76237e-11 -2.0659e-07 0.996328 -1.89259e-06 2.43035e-06 -2.75793e-10 1.89259e-06 0.992656
1.1 0.000210523 0.00399545 -6.62461e-07 -9.9302e-14 9.70295e-09 -6.6246e-07 0.00398078 8.25454e-10 -7.11222e-13 8.52017e-14 -8.25454e-10 0.00398078 -9.1499e-09 9.71034e-09 -1.33333e-12 9.14988e-09 0.00396611 -0.000165804 -2.48538e-11 2.4285e-06 -0.000165804 0.996328 2.06598e-07 -1.78008e-10 2.13247e-11 -2.06598e-07 0.996328 -2.29008e-06 2.43035e-06 -3.33711e-10 2.29008e-06 0.992656
1.2 0.000229659 0.00399527 -7.88355e-07 -1.1818e-13 9.70249e-09 -7.88355e-07 0.00398059 8.25454e-10 -8.46369e-13 1.01394e-13 -8.25454e-10 0.00398059 -1.08889e-08 9.7099e-09 -1.5867e-12 1.08888e-08 0.00396592 -0.000197322 -2.958e-11 2.4285e-06 -0.000197322 0.996328 2.06608e-07 -2.11843e-10 2.53785e-11 -2.06608e-07 0.996328 -2.72544e-06 2.43035e-06 -3.97146e-10 2.72544e-06 0.992656
1.3 0.000248794 0.00399506 -9.25187e-07 -1.38702e-13 9.70199e-09 -9.25186e-07 0.00398039 8.25453e-10 -9.9325e-13 1.18991e-13 -8.25453e-10 0.00398039 -1.27789e-08 9.70942e-09 -1.86209e-12 1.27789e-08 0.00396572 -0.000231583 -3.47185e-11 2.42849e-06 -0.000231582 0.996327 2.06618e-07 -2.48619e-10 2.97845e-11 -2.06618e-07 0.996327 -3.19868e-06 2.43036e-06 -4.66097e-10 3.19867e-06 0.992656
1.4 0.000267929 0.00399484 -1.07295e-06 -1.60868e-13 9.70144e-09 -1.07295e-06 0.00398017 8.25453e-10 -1.15186e-12 1.37997e-13 -8.25453e-10 0.00398017 -1.48201e-08 9.70891e-09 -2.15948e-12 1.48201e-08 0.0039655 -0.000268585 -4.02689e-11 2.42849e-06 -0.000268584 0.996327 2.0663e-07 -2.88337e-10 3.45439e-11 -2.0663e-07 0.996327 -3.7098e-06 2.43036e-06 -5.40566e-10 3.7098e-06 0.992656
1.5 0.000287062 0.00399461 -1.23165e-06 -1.84677e-13 9.70086e-09 -1.23165e-06 0.00397994 8.25453e-10 -1.3222e-12 1.58409e-13 -8.25453e-10 0.00397994 -1.70123e-08 9.70835e-09 -2.47886e-12 1.70123e-08 0.00396527 -0.000308328 -4.62316e-11 2.42849e-06 -0.000308328 0.996327 2.06642e-07 -3.30996e-10 3.96556e-11 -2.06642e-07 0.996327 -4.25881e-06 2.43036e-06 -6.20551e-10 4.25881e-06 0.992655
1.6 0.000306195 0.00399436 -1.40128e-06 -2.10132e-13 9.70023e-09 -1.40128e-06 0.00397969 8.25453e-10 -1.50426e-12 1.80226e-13 -8.25453e-10 0.00397969 -1.93555e-08 9.70775e-09 -2.82023e-12 1.93555e-08 0.00396502 -0.000350815 -5.26071e-11 2.42848e-06 -0.000350814 0.996327 2.06655e-07 -3.76597e-10 4.51203e-11 -2.06655e-07 0.996327 -4.84572e-06 2.43037e-06 -7.06054e-10 4.84571e-06 0.992655
