theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.302863 7.21052e-19 0 6.18275e-06 1.17299e-18 0.302299 3.69625e-06 0 0 -3.69625e-06 0.302299 0 6.18115e-06 0 1.50645e-19 0.301736 2.38079e-18 0 2.04144e-05 3.873e-18 0.998138 1.22044e-05 0 0 -1.22044e-05 0.998138 0 2.04091e-05 0 4.97402e-19 0.996279
0.1 1.91397e-05 0.302862 -2.33657e-07 -4.88568e-12 6.18273e-06 -2.33657e-07 0.302298 3.69623e-06 -1.13291e-12 5.50154e-12 -3.69623e-06 0.302298 1.39855e-07 6.18113e-06 -2.65312e-12 -1.39855e-07 0.301735 -7.71498e-07 -1.61317e-11 2.04144e-05 -7.71497e-07 0.998138 1.22043e-05 -3.74067e-12 1.81652e-11 -1.22043e-05 0.998138 4.61779e-07 2.04091e-05 -8.76019e-12 -4.61778e-07 0.996279
0.2 3.82793e-05 0.302858 -9.34617e-07 -1.95425e-11 6.18266e-06 -9.34616e-07 0.302294 3.69617e-06 -4.53157e-12 2.2006e-11 -3.69617e-06 0.302294 5.59416e-07 6.18106e-06 -1.06124e-11 -5.59415e-07 0.301731 -3.08599e-06 -6.45269e-11 2.04144e-05 -3.08598e-06 0.998138 1.22043e-05 -1.49627e-11 7.26609e-11 -1.22043e-05 0.998138 1.84712e-06 2.04091e-05 -3.50407e-11 -1.84712e-06 0.996279
0.3 5.74188e-05 0.302853 -2.10284e-06 -4.39699e-11 6.18255e-06 -2.10284e-06 0.302289 3.69608e-06 -1.01958e-11 4.95126e-11 -3.69608e-06 0.302289 1.25867e-06 6.18095e-06 -2.38774e-11 -1.25867e-06 0.301726 -6.94346e-06 -1.45186e-10 2.04144e-05 -6.94345e-06 0.998138 1.22042e-05 -3.36658e-11 1.63488e-10 -1.22042e-05 0.998138 4.15605e-06 2.04091e-05 -7.88415e-11 -4.15604e-06 0.996279
0.4 7.65581e-05 0.302845 -3.73828e-06 -7.8167e-11 6.1824e-06 -3.73828e-06 0.302281 3.69595e-06 -1.81252e-11 8.80206e-11 -3.69595e-06 0.302281 2.2376e-06 6.18081e-06 -4.24475e-11 -2.23759e-06 0.301718 -1.23439e-05 -2.58109e-10 2.04144e-05 -1.23439e-05 0.998138 1.22041e-05 -5.98497e-11 2.90646e-10 -1.22041e-05 0.998138 7.38859e-06 2.04091e-05 -1.40163e-10 -7.38857e-06 0.996279
0.5 9.56972e-05 0.302835 -5.84085e-06 -1.22132e-10 6.18221e-06 -5.84085e-06 0.302271 3.69578e-06 -2.83192e-11 1.37528e-10 -3.69578e-06 0.302271 3.49617e-06 6.18061e-06 -6.6322e-11 -3.49615e-06 0.301708 -1.92873e-05 -4.03297e-10 2.04145e-05 -1.92872e-05 0.998138 1.2204e-05 -9.35137e-11 4.54136e-10 -1.2204e-05 0.998138 1.15448e-05 2.04092e-05 -2.19004e-10 -1.15448e-05 0.996279
0.6 0.000114836 0.302823 -8.41045e-06 -1.75864e-10 6.18197e-06 -8.41044e-06 0.302259 3.69558e-06 -4.07773e-11 1.98034e-10 -3.69558e-06 0.302259 5.03434e-06 6.18038e-06 -9.54998e-11 -5.03432e-06 0.301696 -2.77735e-05 -5.80751e-10 2.04145e-05 -2.77735e-05 0.998138 1.22038e-05 -1.34658e-10 6.5396e-10 -1.22038e-05 0.998138 1.66247e-05 2.04092e-05 -3.15366e-10 -1.66246e-05 0.996278
0.7 0.000133974 0.302808 -1.14469e-05 -2.39361e-10 6.18169e-06 -1.14469e-05 0.302244 3.69534e-06 -5.54987e-11 2.69535e-10 -3.69534e-06 0.302244 6.85206e-06 6.1801e-06 -1.2998e-10 -6.85204e-06 0.301681 -3.78026e-05 -7.90471e-10 2.04145e-05 -3.78026e-05 0.998138 1.22036e-05 -1.8328e-10 8.90119e-10 -1.22036e-05 0.998138 2.26284e-05 2.04093e-05 -4.29247e-10 -2.26283e-05 0.996278
0.8 0.000153112 0.302791 -1.49502e-05 -3.12619e-10 6.18136e-06 -1.49502e-05 0.302227 3.69506e-06 -7.24824e-11 3.5203e-10 -3.69506e-06 0.302227 8.94929e-06 6.17978e-06 -1.6976e-10 -8.94926e-06 0.301664 -4.93746e-05 -1.03246e-09 2.04146e-05 -4.93745e-05 0.998137 1.22033e-05 -2.39381e-10 1.16261e-09 -1.22033e-05 0.998137 2.9556e-05 2.04094e-05 -5.60649e-10 -2.95559e-05 0.996278
0.9 0.00017225 0.302772 -1.892e-05 -3.95637e-10 6.181e-06 -1.892e-05 0.302208 3.69475e-06 -9.17273e-11 4.45514e-10 -3.69475e-06 0.302208 1.1326e-05 6.17942e-06 -2.14838e-10 -1.13259e-05 0.301646 -6.24893e-05 -1.30671e-09 2.04147e-05 -6.24892e-05 0.998137 1.22031e-05 -3.02958e-10 1.47145e-09 -1.22031e-05 0.998137 3.74075e-05 2.04094e-05 -7.09571e-10 -3.74074e-05 0.996278
