theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 299.102 1.69835e-15 -6.24804e-17 1.18906 1.76206e-15 298.823 0.6219 -5.94903e-17 -6.59078e-17 -0.6219 298.823 -3.36792e-17 1.18906 4.36467e-17 4.61952e-17 298.683 5.67816e-18 -2.08893e-19 0.00397542 5.89114e-18 0.999067 0.00207922 -1.98896e-19 -2.20352e-19 -0.00207922 0.999067 -1.12601e-19 0.00397541 1.45925e-19 1.54446e-19 0.998599
0.1 1.91397e-05 299.048 0.000284962 1.89377e-05 1.18876 0.000285291 298.769 0.621713 -4.32171e-06 2.48079e-05 -0.621713 298.769 0.00282399 1.18876 1.45957e-05 -0.00282327 298.629 9.52896e-07 6.33267e-08 0.00397515 9.53996e-07 0.999067 0.00207897 -1.44515e-08 8.29561e-08 -0.00207897 0.999067 9.44325e-06 0.00397513 4.88072e-08 -9.44084e-06 0.998599
0.2 3.82793e-05 298.886 0.00113886 7.57311e-05 1.18788 0.00114018 298.607 0.621152 -1.72869e-05 9.91949e-05 -0.621152 298.607 0.0112908 1.18786 5.83484e-05 -0.0112879 298.467 3.81034e-06 2.53378e-07 0.00397435 3.81475e-06 0.999066 0.00207822 -5.78377e-08 3.31882e-07 -0.00207822 0.999066 3.77762e-05 0.00397427 1.95219e-07 -3.77666e-05 0.998598
0.3 5.74188e-05 298.616 0.00255873 0.000170321 1.18641 0.00256169 298.337 0.620218 -3.88957e-05 0.000223051 -0.620218 298.337 0.0253849 1.18636 0.000131155 -0.0253785 298.197 8.56862e-06 5.70366e-07 0.00397301 8.57854e-06 0.999065 0.00207697 -1.30253e-07 7.46949e-07 -0.00207697 0.999065 8.50086e-05 0.00397284 4.3921e-07 -8.49869e-05 0.998597
0.4 7.65581e-05 298.239 0.00453964 0.000302607 1.18435 0.00454491 297.96 0.618912 -6.91482e-05 0.000396194 -0.618912 297.96 0.0450807 1.18426 0.000232844 -0.0450692 297.82 1.52215e-05 1.01465e-06 0.00397114 1.52392e-05 0.999064 0.00207523 -2.31855e-07 1.32845e-06 -0.00207523 0.999064 0.000151157 0.00397084 7.80731e-07 -0.000151118 0.998595
0.5 9.56972e-05 297.754 0.00707472 0.00047245 1.1817 0.00708295 297.475 0.617237 -0.000108045 0.000618367 -0.617237 297.475 0.0703421 1.18157 0.000363176 -0.0703241 297.335 2.37603e-05 1.58672e-06 0.00396873 2.3788e-05 0.999063 0.00207298 -3.62866e-07 2.07678e-06 -0.00207298 0.999063 0.000236243 0.00396827 1.21972e-06 -0.000236182 0.998593
0.6 0.000114836 297.162 0.0101551 0.000679673 1.17848 0.010167 296.883 0.615194 -0.000155585 0.000889244 -0.615194 296.883 0.101123 1.17829 0.000521845 -0.101097 296.743 3.41737e-05 2.28721e-06 0.00396578 3.42137e-05 0.999061 0.00207023 -5.23568e-07 2.99245e-06 -0.00207023 0.999061 0.000340296 0.00396513 1.7561e-06 -0.000340209 0.99859
0.7 0.000133974 296.464 0.0137702 0.000924055 1.17468 0.0137863 296.185 0.612787 -0.000211768 0.00120842 -0.612786 296.185 0.137367 1.17442 0.000708476 -0.137332 296.045 4.6448e-05 3.11692e-06 0.0039623 4.65025e-05 0.999059 0.00206699 -7.14311e-07 4.07612e-06 -0.00206698 0.999059 0.000463352 0.00396142 2.38975e-06 -0.000463233 0.998587
0.8 0.000153112 295.661 0.0179072 0.00120534 1.17031 0.0179283 295.382 0.610019 -0.000276592 0.00157543 -0.610018 295.382 0.179008 1.16997 0.000922631 -0.178963 295.242 6.05666e-05 4.07677e-06 0.00395829 6.06381e-05 0.999057 0.00206324 -9.35506e-07 5.32852e-06 -0.00206324 0.999056 0.000605453 0.00395713 3.12057e-06 -0.000605298 0.998584
0.9 0.00017225 294.752 0.0225517 0.00152323 1.16537 0.0225784 294.473 0.606894 -0.000350056 0.00198973 -0.606893 294.473 0.225971 1.16494 0.00116381 -0.225913 294.334 7.65105e-05 5.16783e-06 0.00395374 7.66014e-05 0.999054 0.002059 -1.18763e-06 6.75053e-06 -0.00205899 0.999054 0.000766647 0.00395228 3.94842e-06 -0.000766451 0.998579
1 0.000191387 293.74 0.0276874 0.00187739 1.15988 0.0277205 293.461 0.603417 -0.000432157 0.00245071 -0.603415 293.461 0.278169 1.15935 0.00143143 -0.278098 293.321 9.4258e-05 6.39132e-06 0.00394866 9.43707e-05 0.999051 0.00205426 -1.47122e-06 8.34312e-06 -0.00205425 0.99905 0.000946991 0.00394685 4.87313e-06 -0.000946748 0.998575
1.1 0.000210523 292.625 0.0332962 0.00226743 1.15383 0.0333363 292.346 0.599593 -0.000522887 0.00295768 -0.59959 292.346 0.335508 1.15319 0.00172488 -0.335422 292.206 0.000113785 7.74859e-06 0.00394304 0.000113922 0.999048 0.00204902 -1.78689e-06 1.01074e-05 -0.00204901 0.999047 0.00114655 0.00394086 5.89452e-06 -0.00114625 0.99857
