theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 1.18345 8.37768e-18 1.25101e-18 -1.4822e-05 8.24147e-18 1.18195 2.8526e-07 -2.70129e-19 6.21084e-19 -2.8526e-07 1.18195 1.10731e-18 -1.4824e-05 3.55623e-19 -1.13466e-18 1.18047 7.07904e-18 1.05709e-18 -1.25244e-05 6.96395e-18 0.998737 2.41042e-07 -2.28255e-19 5.24809e-19 -2.41042e-07 0.998737 9.35666e-19 -1.25261e-05 3.00497e-19 -9.58775e-19 0.997486
0.1 1.91397e-05 1.18344 -5.97689e-07 1.2338e-14 -1.48219e-05 -5.97688e-07 1.18195 2.85092e-07 -1.03552e-12 5.99666e-12 -2.85092e-07 1.18195 7.1142e-07 -1.4824e-05 -1.08305e-12 -7.11417e-07 1.18047 -5.05043e-07 1.04255e-14 -1.25244e-05 -5.05043e-07 0.998737 2.409e-07 -8.7501e-13 5.06714e-12 -2.409e-07 0.998737 6.01145e-07 -1.25262e-05 -9.1517e-13 -6.01143e-07 0.997486
0.2 3.82793e-05 1.18342 -2.3907e-06 4.97773e-14 -1.48218e-05 -2.3907e-06 1.18193 2.84585e-07 -4.14208e-12 2.39858e-11 -2.84585e-07 1.18193 2.84564e-06 -1.48239e-05 -4.33198e-12 -2.84563e-06 1.18044 -2.02016e-06 4.20623e-14 -1.25246e-05 -2.02016e-06 0.998737 2.40477e-07 -3.50009e-12 2.02682e-11 -2.40477e-07 0.998737 2.40459e-06 -1.25263e-05 -3.66056e-12 -2.40458e-06 0.997486
0.3 5.74188e-05 1.18338 -5.37887e-06 1.14003e-13 -1.48216e-05 -5.37887e-06 1.18189 2.83741e-07 -9.31897e-12 5.39652e-11 -2.83741e-07 1.18189 6.40253e-06 -1.48236e-05 -9.74675e-12 -6.40251e-06 1.18041 -4.54533e-06 9.63363e-14 -1.25248e-05 -4.54533e-06 0.998737 2.39771e-07 -7.87485e-12 4.56025e-11 -2.39771e-07 0.998737 5.41036e-06 -1.25265e-05 -8.23634e-12 -5.41034e-06 0.997486
0.4 7.65581e-05 1.18333 -9.56194e-06 2.07679e-13 -1.48213e-05 -9.56193e-06 1.18184 2.82559e-07 -1.65654e-11 9.59312e-11 -2.82559e-07 1.18184 1.13819e-05 -1.48233e-05 -1.7327e-11 -1.13818e-05 1.18036 -8.08052e-06 1.75504e-13 -1.2525e-05 -8.08051e-06 0.998737 2.38782e-07 -1.39989e-11 8.10686e-11 -2.38782e-07 0.998737 9.61849e-06 -1.25268e-05 -1.46425e-11 -9.61846e-06 0.997486
0.5 9.56972e-05 1.18327 -1.49395e-05 3.34628e-13 -1.48209e-05 -1.49395e-05 1.18177 2.8104e-07 -2.58801e-11 1.49879e-10 -2.8104e-07 1.18177 1.77834e-05 -1.48229e-05 -2.70721e-11 -1.77833e-05 1.18029 -1.26256e-05 2.828e-13 -1.25254e-05 -1.26256e-05 0.998737 2.37512e-07 -2.18717e-11 1.26665e-10 -2.37512e-07 0.998737 1.50291e-05 -1.25271e-05 -2.28791e-11 -1.5029e-05 0.997486
0.6 0.000114836 1.18319 -2.15111e-05 4.99523e-13 -1.48204e-05 -2.15111e-05 1.18169 2.79183e-07 -3.72615e-11 2.158e-10 -2.79183e-07 1.18169 2.56067e-05 -1.48225e-05 -3.89817e-11 -2.56066e-05 1.18021 -1.81807e-05 4.22185e-13 -1.25259e-05 -1.81806e-05 0.998737 2.35958e-07 -3.14925e-11 1.82389e-10 -2.35958e-07 0.998737 2.16421e-05 -1.25276e-05 -3.29463e-11 -2.16421e-05 0.997485
0.7 0.000133974 1.18309 -2.92762e-05 7.08318e-13 -1.48199e-05 -2.92761e-05 1.1816 2.76989e-07 -5.07076e-11 2.93689e-10 -2.76989e-07 1.1816 3.48514e-05 -1.48219e-05 -5.30549e-11 -3.48512e-05 1.18012 -2.47454e-05 5.987e-13 -1.25264e-05 -2.47454e-05 0.998736 2.34123e-07 -4.28602e-11 2.48238e-10 -2.34123e-07 0.998736 2.94578e-05 -1.25281e-05 -4.48442e-11 -2.94577e-05 0.997485
0.8 0.000153112 1.18298 -3.82339e-05 9.67869e-13 -1.48192e-05 -3.82339e-05 1.18149 2.74457e-07 -6.62161e-11 3.83533e-10 -2.74457e-07 1.18149 4.55168e-05 -1.48212e-05 -6.9291e-11 -4.55166e-05 1.18001 -3.23199e-05 8.18159e-13 -1.2527e-05 -3.23199e-05 0.998736 2.32004e-07 -5.59738e-11 3.24209e-10 -2.32004e-07 0.998736 3.84763e-05 -1.25287e-05 -5.85731e-11 -3.84761e-05 0.997485
0.9 0.00017225 1.18286 -4.83836e-05 1.28632e-12 -1.48185e-05 -4.83836e-05 1.18136 2.71589e-07 -8.37844e-11 4.85324e-10 -2.71589e-07 1.18136 5.76024e-05 -1.48205e-05 -8.76888e-11 -5.76022e-05 1.17988 -4.09039e-05 1.08747e-12 -1.25277e-05 -4.09039e-05 0.998736 2.29603e-07 -7.08321e-11 4.10297e-10 -2.29603e-07 0.998736 4.86976e-05 -1.25294e-05 -7.41329e-11 -4.86974e-05 0.997485
