theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 101.847 3.29857e-16 -1.11557e-17 0.30991 3.3581e-16 101.69 -0.331038 -8.55457e-17 -2.30408e-18 0.331038 101.69 1.48837e-16 0.309911 1.11596e-16 -1.71551e-16 101.598 3.23875e-18 -1.09534e-19 0.00304291 3.29721e-18 0.99846 -0.00325035 -8.39945e-19 -2.2623e-20 0.00325035 0.99846 1.46138e-18 0.00304291 1.09572e-18 -1.6844e-18 0.997552
0.1 1.91397e-05 101.839 -2.66566e-05 -1.39502e-06 0.309873 -2.66661e-05 101.683 -0.331001 -2.57085e-06 -1.01424e-06 0.331001 101.683 0.000300993 0.309873 8.07695e-07 -0.00030089 101.59 -2.61752e-07 -1.36983e-08 0.00304276 -2.61844e-07 0.99846 -0.00325023 -2.52442e-08 -9.95922e-09 0.00325023 0.99846 2.95557e-06 0.00304277 7.93106e-09 -2.95456e-06 0.997552
0.2 3.82793e-05 101.817 -0.000106595 -5.57873e-06 0.30976 -0.000106633 101.66 -0.330891 -1.02809e-05 -4.05631e-06 0.330891 101.66 0.00120375 0.30976 3.23027e-06 -0.00120334 101.568 -1.04693e-06 -5.47917e-08 0.00304231 -1.0473e-06 0.99846 -0.00324985 -1.00974e-07 -3.98392e-08 0.00324985 0.99846 1.18227e-05 0.00304232 3.17262e-08 -1.18186e-05 0.997552
0.3 5.74188e-05 101.78 -0.000239722 -1.25471e-05 0.309572 -0.000239806 101.623 -0.330707 -2.31225e-05 -9.12424e-06 0.330707 101.623 0.00270761 0.309572 7.26619e-06 -0.00270668 101.531 -2.35529e-06 -1.23276e-07 0.00304157 -2.35612e-06 0.99846 -0.00324923 -2.27181e-07 -8.96466e-08 0.00324923 0.99846 2.66025e-05 0.00304158 7.13911e-08 -2.65934e-05 0.997552
0.4 7.65581e-05 101.728 -0.000425879 -2.22933e-05 0.309308 -0.00042603 101.571 -0.330449 -4.10831e-05 -1.62148e-05 0.330449 101.571 0.00481145 0.309308 1.29129e-05 -0.00480981 101.479 -4.18644e-06 -2.19146e-07 0.00304054 -4.18792e-06 0.998459 -0.00324835 -4.03851e-07 -1.59393e-07 0.00324835 0.998459 4.72971e-05 0.00304054 1.26935e-07 -4.7281e-05 0.997552
0.5 9.56972e-05 101.662 -0.000664848 -3.48079e-05 0.30897 -0.000665084 101.505 -0.330118 -6.41449e-05 -2.53233e-05 0.330118 101.505 0.00751373 0.30897 2.01669e-05 -0.00751117 101.413 -6.53981e-06 -3.4239e-07 0.0030392 -6.54214e-06 0.998459 -0.00324722 -6.30965e-07 -2.49094e-07 0.00324722 0.998459 7.39093e-05 0.0030392 1.98373e-07 -7.38841e-05 0.997551
0.6 0.000114836 101.58 -0.000956347 -5.00788e-05 0.308557 -0.000956688 101.424 -0.329714 -9.22854e-05 -3.6444e-05 0.329714 101.424 0.0108125 0.308556 2.90235e-05 -0.0108088 101.331 -9.4147e-06 -4.92998e-07 0.00303758 -9.41805e-06 0.998458 -0.00324585 -9.08499e-07 -3.58771e-07 0.00324585 0.998458 0.000106443 0.00303756 2.8572e-07 -0.000106406 0.997551
0.7 0.000133974 101.484 -0.00130003 -6.80911e-05 0.30807 -0.0013005 101.328 -0.329236 -0.000125477 -4.95697e-05 0.329236 101.328 0.0147052 0.308068 3.94772e-05 -0.0147002 101.235 -1.28102e-05 -6.70954e-07 0.00303565 -1.28148e-05 0.998458 -0.00324422 -1.23642e-06 -4.88448e-07 0.00324422 0.998458 0.000144902 0.00303563 3.88999e-07 -0.000144852 0.99755
0.8 0.000153112 101.373 -0.0016955 -8.88274e-05 0.307509 -0.00169611 101.217 -0.328686 -0.000163687 -6.46919e-05 0.328686 101.217 0.0191891 0.307505 5.15214e-05 -0.0191825 101.125 -1.67253e-05 -8.76241e-07 0.00303343 -1.67313e-05 0.998457 -0.00324234 -1.61469e-06 -6.38156e-07 0.00324234 0.998457 0.000189292 0.0030334 5.08235e-07 -0.000189227 0.99755
0.9 0.00017225 101.248 -0.00214228 -0.000112267 0.306873 -0.00214305 101.091 -0.328064 -0.000206877 -8.18009e-05 0.328064 101.091 0.0242608 0.306869 6.51485e-05 -0.0242525 101 -2.11588e-05 -1.10884e-06 0.00303091 -2.11664e-05 0.998457 -0.00324021 -2.04328e-06 -8.07928e-07 0.00324021 0.998457 0.000239618 0.00303087 6.43456e-07 -0.000239537 0.997549
1 0.000191387 101.108 -0.00263985 -0.000138389 0.306164 -0.00264081 100.952 -0.327369 -0.000255006 -0.000100886 0.327369 100.952 0.0299166 0.306159 8.035e-05 -0.0299065 100.86 -2.61093e-05 -1.36873e-06 0.0030281 -2.61188e-05 0.998456 -0.00323783 -2.52213e-06 -9.97804e-07 0.00323783 0.998456 0.000295889 0.00302805 7.94697e-07 -0.000295788 0.997548
1.1 0.000210523 100.953 -0.00318762 -0.000167166 0.305382 -0.00318878 100.797 -0.326603 -0.000308027 -0.000121934 0.326603 100.797 0.0361524 0.305375 9.71163e-05 -0.0361401 100.706 -3.15753e-05 -1.65587e-06 0.00302499 -3.15868e-05 0.998455 -0.0032352 -3.05119e-06 -1.20783e-06 0.0032352 0.998455 0.000358111 0.00302492 9.61994e-07 -0.000357989 0.997547
1.2 0.000229659 100.784 -0.00378494 -0.00019857 0.304528 -0.00378633 100.628 -0.325766 -0.000365886 -0.000144932 0.325765 100.628 0.0429635 0.304519 0.000115437 -0.0429489 100.537 -3.7555e-05 -1.97026e-06 0.00302159 -3.75687e-05 0.998454 -0.00323231 -3.6304e-06 -1.43804e-06 0.00323231 0.998454 0.000426293 0.00302151 1.14539e-06 -0.000426148 0.997547
1.3 0.000248794 100.601 -0.00443112 -0.000232573 0.303601 -0.00443275 100.445 -0.324857 -0.000428527 -0.000169865 0.324857 100.445 0.050345 0.303591 0.0001353 -0.0503278 100.354 -4.40466e-05 -2.31184e-06 0.00301789 -4.40628e-05 0.998453 -0.00322918 -4.25969e-06 -1.68851e-06 0.00322918 0.998453 0.000500444 0.00301779 1.34493e-06 -0.000500274 0.997546
1.4 0.000267929 100.403 -0.00512537 -0.000269139 0.302603 -0.00512727 100.247 -0.323878 -0.00049589 -0.000196717 0.323878 100.247 0.0582913 0.302591 0.000156694 -0.0582715 100.156 -5.10481e-05 -2.68059e-06 0.00301389 -5.1067e-05 0.998452 -0.00322579 -4.939e-06 -1.95928e-06 0.00322579 0.998452 0.000580575 0.00301377 1.56066e-06 -0.000580377 0.997544
