theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 1287.58 8.46472e-15 7.16123e-16 0.26864 8.41319e-15 1287.09 0.0743119 -3.50029e-16 7.21727e-16 -0.0743119 1287.09 1.37432e-16 0.268643 2.4862e-16 -1.17117e-16 1286.83 6.57415e-18 5.56179e-19 0.00020864 6.53413e-18 0.999626 5.77146e-05 -2.71851e-19 5.60532e-19 -5.77146e-05 0.999626 1.06737e-19 0.000208643 1.93092e-19 -9.09593e-20 0.99942
0.1 1.91397e-05 1287.12 -0.00149133 -1.60123e-05 0.268617 -0.00148774 1286.63 0.0741227 -1.68077e-05 -1.64957e-06 -0.0741227 1286.63 0.0152104 0.268629 7.53568e-06 -0.0152047 1286.37 -1.15866e-06 -1.24404e-08 0.000208697 -1.15587e-06 0.999626 5.75882e-05 -1.30584e-08 -1.2816e-09 -5.75882e-05 0.999626 1.18175e-05 0.000208707 5.8547e-09 -1.1813e-05 0.999419
0.2 3.82793e-05 1285.74 -0.00596131 -6.40424e-05 0.268549 -0.00594698 1285.25 0.0735559 -6.71392e-05 -6.6349e-06 -0.0735559 1285.25 0.0607874 0.268588 3.00539e-05 -0.0607645 1284.99 -4.63649e-06 -4.981e-08 0.000208868 -4.62535e-06 0.999625 5.72092e-05 -5.22185e-08 -5.16039e-09 -5.72092e-05 0.999625 4.72783e-05 0.000208898 2.33748e-08 -4.72605e-05 0.999419
0.3 5.74188e-05 1283.44 -0.0133979 -0.00014407 0.268436 -0.0133658 1282.96 0.0726135 -0.000150721 -1.50654e-05 -0.0726135 1282.96 0.136568 0.268519 6.72885e-05 -0.136517 1282.69 -1.04391e-05 -1.12253e-07 0.000209154 -1.0414e-05 0.999625 5.65773e-05 -1.17435e-07 -1.17383e-08 -5.65773e-05 0.999625 0.000106408 0.000209219 5.24282e-08 -0.000106368 0.999418
0.4 7.65581e-05 1280.23 -0.0237813 -0.00025606 0.268277 -0.0237242 1279.75 0.0712993 -0.000267096 -2.71222e-05 -0.0712992 1279.75 0.242283 0.268423 0.000118798 -0.242191 1279.48 -1.85758e-05 -2.00011e-07 0.000209554 -1.85312e-05 0.999624 5.56925e-05 -2.08631e-07 -2.11854e-08 -5.56925e-05 0.999624 0.000189249 0.000209667 9.27941e-08 -0.000189178 0.999417
0.5 9.56972e-05 1276.11 -0.0370834 -0.000399962 0.268072 -0.0369946 1275.63 0.0696181 -0.000415632 -4.30559e-05 -0.069618 1275.63 0.377553 0.268297 0.000183967 -0.377411 1275.37 -2.90596e-05 -3.13422e-07 0.000210069 -2.899e-05 0.999623 5.45547e-05 -3.25701e-07 -3.37398e-08 -5.45546e-05 0.999623 0.000295862 0.000210245 1.44162e-07 -0.00029575 0.999415
0.6 0.000114836 1271.1 -0.0532689 -0.000575708 0.26782 -0.0531415 1270.62 0.0675764 -0.000595515 -6.31838e-05 -0.0675761 1270.62 0.541898 0.268143 0.000262013 -0.541694 1270.36 -4.19077e-05 -4.52921e-07 0.000210699 -4.18075e-05 0.999622 5.31637e-05 -4.68504e-07 -4.97079e-08 -5.31634e-05 0.999622 0.000426322 0.000210953 2.0613e-07 -0.000426161 0.999414
0.7 0.000133974 1265.2 -0.0722945 -0.000783209 0.267521 -0.0721218 1264.72 0.0651818 -0.000805762 -8.78863e-05 -0.0651813 1264.72 0.734731 0.267958 0.000351985 -0.734455 1264.45 -5.71409e-05 -6.19041e-07 0.000211446 -5.70044e-05 0.99962 5.15191e-05 -6.36867e-07 -6.94645e-08 -5.15187e-05 0.99962 0.000580725 0.000211792 2.78206e-07 -0.000580506 0.999411
0.8 0.000153112 1258.41 -0.0941095 -0.00102235 0.267174 -0.0938852 1257.93 0.0624435 -0.00104522 -0.000117603 -0.0624426 1257.93 0.955366 0.267743 0.000452776 -0.955007 1257.67 -7.47841e-05 -8.12414e-07 0.00021231 -7.46059e-05 0.999618 4.96208e-05 -8.30582e-07 -9.3453e-08 -4.962e-05 0.999618 0.000759182 0.000212762 3.59799e-07 -0.000758897 0.999409
0.9 0.00017225 1250.77 -0.118656 -0.00129301 0.266778 -0.118374 1250.29 0.0593718 -0.00131256 -0.000152826 -0.0593703 1250.29 1.20302 0.267496 0.000563125 -1.20257 1250.02 -9.48665e-05 -1.03377e-06 0.000213292 -9.46409e-05 0.999616 4.74683e-05 -1.04941e-06 -1.22186e-07 -4.74671e-05 0.999616 0.000961824 0.000213865 4.50224e-07 -0.000961463 0.999406
1 0.000191387 1242.27 -0.145869 -0.001595 0.266333 -0.145523 1241.79 0.0559782 -0.00160632 -0.000194097 -0.055976 1241.79 1.47681 0.267215 0.000681626 -1.47625 1241.53 -0.000117421 -1.28394e-06 0.000214392 -0.000117143 0.999614 4.50613e-05 -1.29306e-06 -1.56244e-07 -4.50595e-05 0.999613 0.0011888 0.000215103 5.48695e-07 -0.00118835 0.999402
1.1 0.000210523 1232.93 -0.175677 -0.00192814 0.265837 -0.175261 1232.46 0.0522756 -0.00192487 -0.000241997 -0.0522724 1232.45 1.77576 0.266901 0.000806736 -1.7751 1232.19 -0.000142487 -1.56386e-06 0.000215613 -0.00014215 0.999611 4.23993e-05 -1.56121e-06 -1.96278e-07 -4.23967e-05 0.99961 0.00144027 0.000216476 6.54322e-07 -0.00143973 0.999398
1.2 0.000229659 1222.78 -0.208001 -0.00229218 0.265289 -0.207511 1222.3 0.0482778 -0.00226642 -0.000297146 -0.0482734 1222.3 2.09882 0.266551 0.000936784 -2.09803 1222.04 -0.000170105 -1.87456e-06 0.000216955 -0.000169704 0.999609 3.9482e-05 -1.8535e-06 -2.43008e-07 -3.94783e-05 0.999607 0.00171643 0.000217987 7.66109e-07 -0.00171579 0.999394
1.3 0.000248794 1211.83 -0.242758 -0.00268685 0.264688 -0.242187 1211.35 0.0439999 -0.00262908 -0.000360185 -0.0439938 1211.35 2.44483 0.266163 0.00106998 -2.44392 1211.09 -0.000200323 -2.21718e-06 0.00021842 -0.000199853 0.999606 3.63087e-05 -2.16951e-06 -2.97224e-07 -3.63036e-05 0.999603 0.00201747 0.000219637 8.82947e-07 -0.00201672 0.999389
1.4 0.000267929 1200.1 -0.279856 -0.00311181 0.264032 -0.279201 1199.62 0.0394578 -0.00301078 -0.000431781 -0.0394498 1199.62 2.81259 0.265737 0.00120443 -2.81154 1199.36 -0.000233194 -2.59296e-06 0.000220009 -0.000232648 0.999602 3.28788e-05 -2.50878e-06 -3.59788e-07 -3.28721e-05 0.999599 0.00234363 0.000221429 1.00361e-06 -0.00234276 0.999384
1.5 0.000287062 1187.61 -0.3192 -0.0035667 0.263321 -0.318456 1187.13 0.0346685 -0.00340938 -0.000512607 -0.034658 1187.13 3.20078 0.26527 0.00133814 -3.19959 1186.87 -0.000268775 -3.00326e-06 0.000221723 -0.000268149 0.999599 2.91919e-05 -2.87079e-06 -4.31629e-07 -2.9183e-05 0.999595 0.00269514 0.000223364 1.12675e-06 -0.00269414 0.999378
1.6 0.000306195 1174.39 -0.36069 -0.00405107 0.262552 -0.359852 1173.91 0.0296498 -0.0038226 -0.00060334 -0.0296364 1173.9 3.60804 0.26476 0.00146904 -3.60671 1173.65 -0.00030713 -3.44952e-06 0.000223566 -0.000306417 0.999595 2.52471e-05 -3.25498e-06 -5.13749e-07 -2.52356e-05 0.99959 0.00307228 0.000225446 1.2509e-06 -0.00307114 0.999371
