theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 211.995 1.38794e-15 -2.22309e-16 0.111482 1.37914e-15 211.804 0.310812 -7.48611e-17 -2.04374e-16 -0.310812 211.804 1.04212e-16 0.111484 6.12787e-17 -1.1266e-16 211.703 6.54707e-18 -1.04865e-18 0.000525871 6.50556e-18 0.999101 0.00146613 -3.53127e-19 -9.6405e-19 -0.00146613 0.999101 4.91579e-19 0.000525883 2.89058e-19 -5.31428e-19 0.998622
0.1 1.91397e-05 211.961 -0.000127385 -1.1187e-05 0.11148 -0.000127011 211.771 0.310721 -3.92783e-06 -8.78662e-06 -0.310721 211.771 0.00204334 0.111481 8.18157e-06 -0.00204271 211.669 -6.0098e-07 -5.27786e-08 0.000525945 -5.99218e-07 0.999101 0.00146593 -1.85309e-08 -4.14539e-08 -0.00146593 0.999101 9.64017e-06 0.000525948 3.85993e-08 -9.63717e-06 0.998622
0.2 3.82793e-05 211.862 -0.000509255 -4.47258e-05 0.111475 -0.00050776 211.671 0.310446 -1.57131e-05 -3.51279e-05 -0.310446 211.671 0.00817011 0.111469 3.27155e-05 -0.00816757 211.569 -2.40371e-06 -2.11109e-07 0.000526168 -2.39666e-06 0.9991 0.00146533 -7.4167e-08 -1.65806e-07 -0.00146533 0.9991 3.85635e-05 0.000526142 1.54419e-07 -3.85515e-05 0.998622
0.3 5.74188e-05 211.695 -0.00114476 -0.000100549 0.111466 -0.0011414 211.505 0.309989 -3.53613e-05 -7.89682e-05 -0.309989 211.505 0.0183705 0.11145 7.35698e-05 -0.0183648 211.403 -5.40759e-06 -4.74973e-07 0.000526539 -5.3917e-06 0.9991 0.00146432 -1.67039e-07 -3.73028e-07 -0.00146432 0.9991 8.67783e-05 0.000526465 3.47527e-07 -8.67513e-05 0.99862
0.4 7.65581e-05 211.463 -0.00203249 -0.000178547 0.111453 -0.00202651 211.272 0.30935 -6.28812e-05 -0.000140215 -0.30935 211.272 0.0326284 0.111423 0.000130691 -0.0326182 211.17 -9.61156e-06 -8.44343e-07 0.000527058 -9.5833e-06 0.999099 0.00146291 -2.97363e-07 -6.63072e-07 -0.00146291 0.999099 0.000154299 0.000526918 6.18033e-07 -0.000154251 0.998619
0.5 9.56972e-05 211.164 -0.00317046 -0.000278563 0.111436 -0.00316112 210.973 0.30853 -9.82851e-05 -0.000218738 -0.30853 210.973 0.0509209 0.111389 0.000204004 -0.0509051 210.872 -1.50142e-05 -1.31918e-06 0.000527725 -1.497e-05 0.999098 0.00146109 -4.65445e-07 -1.03587e-06 -0.00146109 0.999098 0.000241144 0.000527499 9.66093e-07 -0.000241069 0.998617
0.6 0.000114836 210.799 -0.00455614 -0.000400397 0.111416 -0.00454269 210.608 0.307529 -0.000141589 -0.000314373 -0.307529 210.608 0.0732188 0.111346 0.000293412 -0.0731962 210.507 -2.16137e-05 -1.89943e-06 0.00052854 -2.15499e-05 0.999096 0.00145888 -6.71677e-07 -1.49134e-06 -0.00145888 0.999096 0.00034734 0.000528208 1.39191e-06 -0.000347232 0.998615
0.7 0.000133974 210.369 -0.00618645 -0.000543809 0.11139 -0.00616815 210.178 0.30635 -0.000192811 -0.000426916 -0.30635 210.178 0.0994868 0.111295 0.0003988 -0.099456 210.077 -2.94077e-05 -2.58503e-06 0.000529502 -2.93207e-05 0.999095 0.00145626 -9.16538e-07 -2.02937e-06 -0.00145626 0.999094 0.000472917 0.000529046 1.89572e-06 -0.000472771 0.998612
0.8 0.000153112 209.873 -0.00805777 -0.00070851 0.111361 -0.00803386 209.682 0.304994 -0.000251973 -0.00055613 -0.304994 209.682 0.129683 0.111235 0.000520028 -0.129643 209.581 -3.83936e-05 -3.3759e-06 0.00053061 -3.82797e-05 0.999093 0.00145323 -1.2006e-06 -2.64984e-06 -0.00145323 0.999092 0.000617912 0.000530011 2.47782e-06 -0.000617721 0.998609
0.9 0.00017225 209.312 -0.0101659 -0.000894175 0.111326 -0.0101357 209.122 0.303463 -0.000319099 -0.000701742 -0.303462 209.122 0.163759 0.111167 0.000656937 -0.163708 209.02 -4.85682e-05 -4.27196e-06 0.000531865 -4.84237e-05 0.99909 0.00144981 -1.52451e-06 -3.35261e-06 -0.00144981 0.99909 0.000782366 0.000531104 3.13855e-06 -0.000782125 0.998605
