theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 112354 7.46699e-13 1.83777e-14 36.3858 7.47357e-13 112352 -14.7347 -8.05809e-15 1.93056e-14 14.7347 112352 5.92368e-15 36.3859 5.79053e-15 -5.28858e-15 112350 6.64596e-18 1.6357e-19 0.00032385 6.65181e-18 0.999979 -0.000131145 -7.17206e-20 1.71829e-19 0.000131145 0.999979 5.27234e-20 0.000323851 5.15383e-20 -4.70707e-20 0.999965
0.1 1.91397e-05 111995 0.0102945 0.0366125 36.2372 0.010418 111993 -14.6866 0.0221892 0.0380442 14.6866 111993 4.56664 36.2369 -0.0226744 -4.56685 111991 9.19193e-08 3.2691e-07 0.000323559 9.30213e-08 0.999979 -0.000131135 1.98126e-07 3.39694e-07 0.000131135 0.999979 4.07752e-05 0.000323557 -2.02458e-07 -4.07771e-05 0.999965
0.2 3.82793e-05 110926 0.0392801 0.145281 35.794 0.0397712 110924 -14.5431 0.0880099 0.150945 14.543 110924 18.1198 35.7927 -0.0899342 -18.1206 110922 3.54111e-07 1.30971e-06 0.000322684 3.58538e-07 0.999979 -0.000131106 7.93411e-07 1.36077e-06 0.000131106 0.999979 0.00016335 0.000322672 -8.10759e-07 -0.000163358 0.999964
0.3 5.74188e-05 109163 0.0813539 0.322537 35.0648 0.0824493 109161 -14.3065 0.195249 0.335051 14.3064 109161 40.2243 35.0616 -0.199518 -40.2261 109159 7.45249e-07 2.95463e-06 0.000321214 7.55284e-07 0.999979 -0.000131056 1.78859e-06 3.06926e-06 0.000131055 0.999979 0.000368478 0.000321185 -1.8277e-06 -0.000368495 0.999964
0.4 7.65581e-05 106737 0.127479 0.562737 34.0634 0.129403 106735 -13.9806 0.340307 0.584415 13.9804 106734 70.1721 34.0577 -0.347747 -70.1754 106733 1.19433e-06 5.27219e-06 0.000319135 1.21236e-06 0.999978 -0.000130982 3.18828e-06 5.47529e-06 0.00013098 0.999978 0.000657431 0.000319081 -3.25798e-06 -0.000657462 0.999963
0.5 9.56972e-05 103686 0.165622 0.858248 32.8089 0.168581 103684 -13.5708 0.518331 0.891006 13.5702 103684 107.007 32.7996 -0.529661 -107.012 103682 1.59734e-06 8.27735e-06 0.000316424 1.62587e-06 0.999978 -0.000130883 4.99903e-06 8.59328e-06 0.000130878 0.999977 0.00103203 0.000316335 -5.1083e-06 -0.00103208 0.999962
0.6 0.000114836 100062 0.181333 1.19972 31.3245 0.185511 100059 -13.0836 0.72339 1.24498 13.0824 100059 149.56 31.3108 -0.739197 -149.567 100058 1.81221e-06 1.19898e-05 0.000313052 1.85396e-06 0.999977 -0.000130755 7.22945e-06 1.24421e-05 0.000130744 0.999976 0.00149467 0.000312915 -7.38741e-06 -0.00149475 0.999961
0.7 0.000133974 95920.9 0.158449 1.57639 29.6378 0.164004 95918.6 -12.5267 0.948687 1.63503 12.5247 95918.4 196.485 29.6185 -0.969406 -196.495 95916.9 1.65188e-06 1.64342e-05 0.000308982 1.70979e-06 0.999977 -0.000130594 9.89031e-06 1.70456e-05 0.000130573 0.999974 0.00204841 0.00030878 -1.01063e-05 -0.00204851 0.999959
0.8 0.000153112 91329.4 0.0798823 1.97646 27.7793 0.0869422 91327.2 -11.9091 1.1868 2.04875 11.9056 91326.8 246.314 27.7533 -1.2127 -246.326 91325.4 8.74662e-07 2.1641e-05 0.000304166 9.51963e-07 0.999976 -0.000130397 1.29947e-05 2.24326e-05 0.000130359 0.999972 0.00269699 0.000303882 -1.32783e-05 -0.00269712 0.999956
0.9 0.00017225 86358.2 -0.0715469 2.38749 25.7821 -0.0628881 86356 -11.2402 1.42995 2.4731 11.2349 86355.5 297.499 25.7482 -1.46112 -297.514 86354.1 -8.28489e-07 2.76464e-05 0.000298548 -7.28224e-07 0.999975 -0.000130158 1.65584e-05 2.86377e-05 0.000130096 0.999969 0.00344494 0.000298156 -1.69193e-05 -0.00344512 0.999952
1 0.000191387 81082.4 -0.312258 2.79683 23.6808 -0.301943 81080.2 -10.5304 1.67026 2.89481 10.5227 81079.4 348.469 23.6379 -1.70662 -348.488 81078 -3.85112e-06 3.44937e-05 0.000292059 -3.7239e-06 0.999973 -0.000129873 2.05995e-05 3.5702e-05 0.000129778 0.999964 0.00429772 0.000291529 -2.10479e-05 -0.00429795 0.999946
1.1 0.000210523 75579.1 -0.657091 3.19202 21.5109 -0.645101 75577 -9.79057 1.90003 3.30082 9.77971 75575.9 397.683 21.4576 -1.9413 -397.704 75574.5 -8.69409e-06 4.22341e-05 0.000284615 -8.53544e-06 0.999972 -0.000129541 2.51396e-05 4.36737e-05 0.000129397 0.999958 0.00526181 0.00028391 -2.56857e-05 -0.00526209 0.999939
1.2 0.000229659 69926.3 -1.11855 3.56118 19.3078 -1.10491 69924.2 -9.03151 2.11198 3.67876 9.01688 69922.8 443.675 19.243 -2.15775 -443.7 69921.4 -1.59961e-05 5.09276e-05 0.000276116 -1.5801e-05 0.99997 -0.000129158 3.02029e-05 5.26091e-05 0.000128948 0.99995 0.0063449 0.00027519 -3.08574e-05 -0.00634525 0.99993
1.3 0.000248794 64201 -1.70615 3.89347 17.1058 -1.69091 64198.9 -8.26424 2.2995 4.0173 8.24515 64197 485.109 17.0285 -2.34918 -485.136 64195.7 -2.65751e-05 6.0645e-05 0.000266441 -2.63378e-05 0.999968 -0.000128725 3.58173e-05 6.25738e-05 0.000128427 0.999939 0.00755609 0.000265237 -3.6591e-05 -0.00755653 0.999918
1.4 0.000267929 58477.3 -2.42587 4.17933 14.9378 -2.40914 58475.3 -7.49948 2.45685 4.30654 7.47526 58472.9 520.81 14.847 -2.50972 -520.841 58471.6 -4.1484e-05 7.14692e-05 0.000255446 -4.11979e-05 0.999965 -0.000128246 4.20138e-05 7.36447e-05 0.000127832 0.999925 0.00890618 0.000253894 -4.29179e-05 -0.00890671 0.999903
1.5 0.000287062 52825.6 -3.2798 4.41085 12.8342 -3.26172 52823.6 -6.74749 2.5793 4.53831 6.71753 52820.7 549.806 12.7292 -2.63456 -549.84 52819.4 -6.20873e-05 8.34985e-05 0.000242955 -6.1745e-05 0.999962 -0.000127732 4.88268e-05 8.59113e-05 0.000127164 0.999907 0.010408 0.000240967 -4.98727e-05 -0.0104086 0.999883
