theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 181.195 1.19028e-15 1.92144e-16 -0.316917 1.19559e-15 180.911 -0.105509 -1.5172e-16 1.61342e-16 0.105509 180.911 8.3076e-17 -0.316921 1.29393e-16 -7.12327e-17 180.689 6.56909e-18 1.06043e-18 -0.00174904 6.59836e-18 0.998435 -0.000582296 -8.37332e-19 8.90434e-19 0.000582296 0.998435 4.5849e-19 -0.00174906 7.1411e-19 -3.93128e-19 0.997211
0.1 1.91397e-05 181.172 -0.000151703 -1.263e-07 -0.316878 -0.000150267 180.889 -0.105474 -6.02768e-06 -4.23822e-06 0.105474 180.889 0.000935329 -0.316884 7.64729e-06 -0.000935599 180.667 -8.37343e-07 -6.97124e-10 -0.00174904 -8.29416e-07 0.998435 -0.000582177 -3.32704e-08 -2.33933e-08 0.000582177 0.998435 5.16265e-06 -0.00174908 4.221e-08 -5.16414e-06 0.997211
0.2 3.82793e-05 181.106 -0.000606499 -5.07563e-07 -0.316759 -0.000600757 180.823 -0.105372 -2.41033e-05 -1.69497e-05 0.105372 180.823 0.00374024 -0.316774 3.05795e-05 -0.00374132 180.601 -3.34886e-06 -2.80258e-09 -0.00174903 -3.31716e-06 0.998435 -0.000581823 -1.3309e-07 -9.35901e-08 0.000581823 0.998435 2.06522e-05 -0.00174911 1.68849e-07 -2.06582e-05 0.997211
0.3 5.74188e-05 180.995 -0.00136344 -1.15088e-06 -0.316561 -0.00135054 180.712 -0.1052 -5.42049e-05 -3.81249e-05 0.1052 180.712 0.0084115 -0.316591 6.87679e-05 -0.00841393 180.49 -7.53304e-06 -6.3586e-09 -0.00174901 -7.46173e-06 0.998435 -0.000581231 -2.99483e-07 -2.10641e-07 0.000581231 0.998435 4.64737e-05 -0.00174917 3.79943e-07 -4.64871e-05 0.997211
0.4 7.65581e-05 180.84 -0.00242097 -2.06802e-06 -0.316285 -0.00239805 180.557 -0.10496 -9.62955e-05 -6.77479e-05 0.10496 180.557 0.0149437 -0.316335 0.000122164 -0.014948 180.336 -1.33873e-05 -1.14356e-08 -0.00174897 -1.32606e-05 0.998435 -0.000580404 -5.3249e-07 -3.74629e-07 0.000580404 0.998435 8.26351e-05 -0.00174926 6.75538e-07 -8.2659e-05 0.99721
0.5 9.56972e-05 180.641 -0.00377688 -3.27543e-06 -0.315929 -0.00374111 180.358 -0.104652 -0.000150324 -0.000105797 0.104652 180.358 0.0233294 -0.316006 0.000190702 -0.0233362 180.137 -2.09082e-05 -1.81323e-08 -0.00174893 -2.07102e-05 0.998434 -0.000579339 -8.32169e-07 -5.85673e-07 0.00057934 0.998434 0.000129148 -0.00174936 1.0557e-06 -0.000129185 0.99721
0.6 0.000114836 180.398 -0.00542835 -4.79417e-06 -0.315495 -0.00537695 180.115 -0.104277 -0.000216223 -0.000152242 0.104277 180.115 0.0335589 -0.315605 0.000274294 -0.0335686 179.894 -3.00911e-05 -2.65756e-08 -0.00174888 -2.98061e-05 0.998434 -0.000578039 -1.19859e-06 -8.43925e-07 0.000578039 0.998434 0.000186027 -0.00174949 1.52049e-06 -0.000186081 0.99721
0.7 0.000133974 180.111 -0.00737198 -6.64982e-06 -0.314982 -0.00730215 179.828 -0.103834 -0.000293914 -0.000207049 0.103834 179.828 0.0456204 -0.31513 0.000372835 -0.0456336 179.608 -4.09303e-05 -3.69208e-08 -0.00174883 -4.05426e-05 0.998433 -0.000576503 -1.63185e-06 -1.14957e-06 0.000576503 0.998433 0.000253291 -0.00174965 2.07004e-06 -0.000253364 0.99721
0.8 0.000153112 179.78 -0.0096037 -8.87241e-06 -0.314391 -0.00951272 179.498 -0.103325 -0.0003833 -0.000270178 0.103325 179.498 0.0595 -0.314583 0.000486203 -0.0595172 179.278 -5.34192e-05 -4.93515e-08 -0.00174876 -5.29132e-05 0.998433 -0.00057473 -2.13205e-06 -1.50283e-06 0.000574731 0.998433 0.000330961 -0.00174982 2.70443e-06 -0.000331056 0.997209
0.9 0.00017225 179.406 -0.0121189 -1.14963e-05 -0.313723 -0.0120041 179.124 -0.10275 -0.000484274 -0.000341579 0.10275 179.124 0.0751818 -0.313964 0.000614253 -0.0752036 178.905 -6.75502e-05 -6.40801e-08 -0.00174868 -6.69102e-05 0.998432 -0.000572722 -2.69932e-06 -1.90395e-06 0.000572724 0.998432 0.00041906 -0.00175002 3.42382e-06 -0.000419182 0.997209
1 0.000191387 178.988 -0.0149123 -1.45603e-05 -0.312977 -0.014771 178.707 -0.102109 -0.00059671 -0.000421199 0.102109 178.707 0.0926477 -0.313273 0.000756826 -0.0926746 178.488 -8.33144e-05 -8.13475e-08 -0.00174859 -8.25249e-05 0.998431 -0.000570478 -3.3338e-06 -2.35322e-06 0.000570481 0.998431 0.000517619 -0.00175024 4.22836e-06 -0.000517769 0.997208
1.1 0.000210523 178.528 -0.0179781 -1.81069e-05 -0.312154 -0.0178077 178.248 -0.101404 -0.000720473 -0.000508979 0.101404 178.248 0.111878 -0.312511 0.000913742 -0.11191 178.029 -0.000100702 -1.01423e-07 -0.00174849 -9.97476e-05 0.998431 -0.000567999 -4.03563e-06 -2.85098e-06 0.000568003 0.99843 0.000626668 -0.00175049 5.11821e-06 -0.00062685 0.997207
1.2 0.000229659 178.025 -0.02131 -2.2183e-05 -0.311254 -0.0211079 177.745 -0.100635 -0.000855411 -0.00060485 0.100636 177.745 0.132849 -0.311677 0.0010848 -0.132888 177.528 -0.000119702 -1.24606e-07 -0.00174838 -0.000118567 0.99843 -0.000565285 -4.80501e-06 -3.39756e-06 0.000565291 0.998429 0.000746241 -0.00175075 6.09356e-06 -0.000746459 0.997207
