theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.0399563 0 0 1.51991e-07 0 0.039822 1.80703e-08 0 0 -1.80703e-08 0.039822 0 1.51598e-07 0 0 0.0396878 0 0 3.80393e-06 0 0.996639 4.52253e-07 0 0 -4.52253e-07 0.996639 0 3.7941e-06 0 0 0.993278
0.1 1.91397e-05 0.0399562 -4.37534e-08 -2.32384e-14 1.51991e-07 -4.37534e-08 0.0398219 1.80704e-08 -1.03504e-13 5.0995e-14 -1.80704e-08 0.0398219 -9.11646e-10 1.51598e-07 -2.11e-13 9.11649e-10 0.0396877 -1.09503e-06 -5.81597e-13 3.80393e-06 -1.09503e-06 0.996639 4.52254e-07 -2.59043e-12 1.27627e-12 -4.52254e-07 0.996639 -2.28161e-08 3.79409e-06 -5.28077e-12 2.28162e-08 0.993278
0.2 3.82793e-05 0.0399559 -1.75012e-07 -9.29595e-14 1.51989e-07 -1.75012e-07 0.0398216 1.80704e-08 -4.14012e-13 2.03974e-13 -1.80704e-08 0.0398216 -3.64659e-09 1.51596e-07 -8.4399e-13 3.6466e-09 0.0396873 -4.38014e-06 -2.32655e-12 3.80392e-06 -4.38013e-06 0.996639 4.52259e-07 -1.03617e-11 5.10498e-12 -4.52259e-07 0.996639 -9.12653e-08 3.79409e-06 -2.1123e-11 9.12656e-08 0.993278
0.3 5.74188e-05 0.0399554 -3.93773e-07 -2.09156e-13 1.51987e-07 -3.93773e-07 0.0398211 1.80705e-08 -9.31514e-13 4.58941e-13 -1.80705e-08 0.0398211 -8.20483e-09 1.51594e-07 -1.89896e-12 8.20485e-09 0.0396868 -9.85532e-06 -5.23473e-12 3.80391e-06 -9.85532e-06 0.996639 4.52267e-07 -2.33138e-11 1.14863e-11 -4.52267e-07 0.996639 -2.0535e-07 3.79408e-06 -4.75269e-11 2.0535e-07 0.993278
0.4 7.65581e-05 0.0399547 -7.00031e-07 -3.71837e-13 1.51983e-07 -7.00031e-07 0.0398204 1.80706e-08 -1.65599e-12 8.15887e-13 -1.80706e-08 0.0398204 -1.45864e-08 1.51591e-07 -3.37587e-12 1.45864e-08 0.0396861 -1.75206e-05 -9.30647e-12 3.8039e-06 -1.75206e-05 0.996639 4.52278e-07 -4.14466e-11 2.04203e-11 -4.52278e-07 0.996639 -3.65073e-07 3.79407e-06 -8.44925e-11 3.65074e-07 0.993278
0.5 9.56972e-05 0.0399537 -1.09378e-06 -5.81005e-13 1.51979e-07 -1.09378e-06 0.0398194 1.80708e-08 -2.5874e-12 1.2748e-12 -1.80708e-08 0.0398194 -2.27913e-08 1.51587e-07 -5.27468e-12 2.27913e-08 0.0396852 -2.73761e-05 -1.45419e-11 3.80388e-06 -2.73761e-05 0.996639 4.52293e-07 -6.476e-11 3.19069e-11 -4.52293e-07 0.996639 -5.70441e-07 3.79405e-06 -1.3202e-10 5.70443e-07 0.993278
0.6 0.000114836 0.0399526 -1.575e-06 -8.36667e-13 1.51974e-07 -1.575e-06 0.0398183 1.8071e-08 -3.72573e-12 1.83567e-12 -1.8071e-08 0.0398183 -3.28195e-08 1.51582e-07 -7.59536e-12 3.28196e-08 0.0396841 -3.94217e-05 -2.09415e-11 3.80385e-06 -3.94217e-05 0.996639 4.5231e-07 -9.32536e-11 4.59462e-11 -4.5231e-07 0.996639 -8.2146e-07 3.79404e-06 -1.90109e-10 8.21463e-07 0.993278
0.7 0.000133974 0.0399513 -2.14369e-06 -1.13882e-12 1.51968e-07 -2.14369e-06 0.039817 1.80712e-08 -5.07092e-12 2.49849e-12 -1.80712e-08 0.039817 -4.46711e-08 1.51576e-07 -1.03378e-11 4.46712e-08 0.0396827 -5.36576e-05 -2.85053e-11 3.80383e-06 -5.36576e-05 0.996638 4.52331e-07 -1.26928e-10 6.25384e-11 -4.52331e-07 0.996638 -1.11814e-06 3.79401e-06 -2.58761e-10 1.11814e-06 0.993278
0.8 0.000153112 0.0399497 -2.79983e-06 -1.48748e-12 1.51961e-07 -2.79983e-06 0.0398154 1.80715e-08 -6.62291e-12 3.26324e-12 -1.80715e-08 0.0398154 -5.83461e-08 1.51569e-07 -1.3502e-11 5.83463e-08 0.0396812 -7.00837e-05 -3.72337e-11 3.8038e-06 -7.00837e-05 0.996638 4.52355e-07 -1.65781e-10 8.16836e-11 -4.52355e-07 0.996638 -1.46049e-06 3.79399e-06 -3.37975e-10 1.46049e-06 0.993278
0.9 0.00017225 0.039948 -3.5434e-06 -1.88264e-12 1.51953e-07 -3.5434e-06 0.0398137 1.80718e-08 -8.38165e-12 4.1299e-12 -1.80718e-08 0.0398137 -7.38445e-08 1.51561e-07 -1.70878e-11 7.38448e-08 0.0396794 -8.87003e-05 -4.71273e-11 3.80376e-06 -8.87003e-05 0.996638 4.52382e-07 -2.09814e-10 1.03382e-10 -4.52382e-07 0.996638 -1.84852e-06 3.79396e-06 -4.27752e-10 1.84852e-06 0.993278
