theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 148.568 7.74436e-16 8.26287e-18 0.277836 8.0477e-16 148.479 0.610941 -1.18577e-17 1.22846e-17 -0.610941 148.479 7.53071e-17 0.277837 8.02906e-18 -8.2749e-17 148.453 5.21268e-18 5.56169e-20 0.0018701 5.41686e-18 0.999404 0.00411221 -7.98136e-20 8.26869e-20 -0.00411221 0.999404 5.06887e-19 0.00187011 5.40431e-20 -5.56978e-19 0.999227
0.1 1.91397e-05 148.554 0.000102826 -3.24685e-06 0.277806 0.000103138 148.465 0.610852 -5.0206e-07 -1.86525e-06 -0.610852 148.465 0.00100766 0.277806 4.2783e-06 -0.00100807 148.439 6.92179e-07 -2.18564e-08 0.00187007 6.94278e-07 0.999404 0.004112 -3.37965e-09 -1.2556e-08 -0.004112 0.999404 6.78314e-06 0.00187007 2.87997e-08 -6.78586e-06 0.999227
0.2 3.82793e-05 148.512 0.000411265 -1.29832e-05 0.277714 0.000412512 148.423 0.610585 -2.00963e-06 -7.45893e-06 -0.610585 148.423 0.00402962 0.277713 1.71071e-05 -0.00403124 148.397 2.76924e-06 -8.7422e-08 0.00186998 2.77764e-06 0.999404 0.00411135 -1.35318e-08 -5.02244e-08 -0.00411135 0.999404 2.71333e-05 0.00186997 1.1519e-07 -2.71442e-05 0.999226
0.3 5.74188e-05 148.442 0.000925206 -2.91966e-05 0.277561 0.000928008 148.354 0.61014 -4.52688e-06 -1.67749e-05 -0.61014 148.354 0.0090628 0.277559 3.84683e-05 -0.00906643 148.327 6.23276e-06 -1.96687e-07 0.00186982 6.25164e-06 0.999404 0.00411028 -3.04958e-08 -1.13006e-07 -0.00411028 0.999404 6.10527e-05 0.00186981 2.59146e-07 -6.10771e-05 0.999226
0.4 7.65581e-05 148.345 0.00164446 -5.18663e-05 0.277347 0.00164943 148.256 0.609517 -8.06073e-06 -2.98029e-05 -0.609517 148.256 0.0161021 0.277342 6.83314e-05 -0.0161085 148.23 1.10854e-05 -3.49633e-07 0.00186961 1.11189e-05 0.999403 0.00410878 -5.43377e-08 -2.00902e-07 -0.00410878 0.999403 0.000108545 0.00186957 4.60625e-07 -0.000108588 0.999225
0.5 9.56972e-05 148.22 0.00256876 -8.0963e-05 0.277072 0.00257652 148.131 0.608717 -1.26209e-05 -4.65285e-05 -0.608717 148.131 0.0251403 0.277063 0.000106654 -0.0251504 148.105 1.73307e-05 -5.46236e-07 0.00186933 1.73831e-05 0.999402 0.00410685 -8.51496e-08 -3.13916e-07 -0.00410685 0.999402 0.000169615 0.00186927 7.19567e-07 -0.000169683 0.999224
0.6 0.000114836 148.067 0.00369777 -0.00011645 0.276736 0.00370892 147.978 0.607741 -1.82197e-05 -6.69335e-05 -0.607741 147.978 0.0361683 0.276723 0.000153382 -0.0361827 147.952 2.49736e-05 -7.86465e-07 0.00186899 2.50489e-05 0.999401 0.0041045 -1.2305e-07 -4.52049e-07 -0.0041045 0.999401 0.00024427 0.0018689 1.0359e-06 -0.000244367 0.999222
0.7 0.000133974 147.887 0.00503108 -0.00015828 0.276339 0.0050462 147.798 0.606588 -2.48722e-05 -9.09953e-05 -0.606588 147.798 0.0491748 0.276322 0.000208449 -0.0491944 147.771 3.40198e-05 -1.07028e-06 0.00186859 3.41221e-05 0.9994 0.00410171 -1.68184e-07 -6.15304e-07 -0.00410171 0.9994 0.000332517 0.00186847 1.40952e-06 -0.000332649 0.99922
0.8 0.000153112 147.679 0.0065682 -0.000206402 0.275882 0.00658788 147.59 0.605261 -3.25962e-05 -0.000118688 -0.605261 147.59 0.0641466 0.275859 0.000271777 -0.0641722 147.563 4.44762e-05 -1.39764e-06 0.00186812 4.46095e-05 0.999399 0.0040985 -2.20723e-07 -8.03687e-07 -0.0040985 0.999399 0.000434366 0.00186796 1.84032e-06 -0.000434539 0.999219
0.9 0.00017225 147.443 0.00830855 -0.000260752 0.275364 0.00833337 147.355 0.603759 -4.14118e-05 -0.00014998 -0.603759 147.355 0.0810685 0.275335 0.000343275 -0.0811008 147.328 5.63508e-05 -1.76849e-06 0.00186759 5.65191e-05 0.999398 0.00409485 -2.80866e-07 -1.0172e-06 -0.00409485 0.999397 0.000549827 0.00186739 2.32818e-06 -0.000550047 0.999216
1 0.000191387 147.181 0.0102515 -0.000321262 0.274787 0.010282 147.092 0.602084 -5.1342e-05 -0.000184838 -0.602084 147.092 0.0999232 0.27475 0.000422843 -0.099963 147.065 6.96525e-05 -2.18277e-06 0.001867 6.98598e-05 0.999396 0.00409078 -3.48836e-07 -1.25585e-06 -0.00409078 0.999396 0.000678915 0.00186675 2.87295e-06 -0.000679185 0.999214
1.1 0.000210523 146.891 0.0123964 -0.000387854 0.274149 0.0124331 146.802 0.600237 -6.2412e-05 -0.000223223 -0.600237 146.802 0.120692 0.274105 0.000510368 -0.12074 146.775 8.43915e-05 -2.64042e-06 0.00186634 8.46416e-05 0.999394 0.00408627 -4.24886e-07 -1.51965e-06 -0.00408627 0.999394 0.000821641 0.00186604 3.47447e-06 -0.000821968 0.999211
1.2 0.000229659 146.574 0.0147423 -0.000460441 0.273452 0.0147858 146.485 0.598219 -7.46494e-05 -0.000265094 -0.598219 146.485 0.143353 0.273399 0.000605726 -0.14341 146.458 0.000100579 -3.14135e-06 0.00186562 0.000100876 0.999392 0.00408134 -5.09294e-07 -1.8086e-06 -0.00408134 0.999392 0.000978022 0.00186526 4.13255e-06 -0.00097841 0.999208
1.3 0.000248794 146.231 0.0172885 -0.000538933 0.272695 0.0173392 146.142 0.596032 -8.80841e-05 -0.000310404 -0.596032 146.141 0.167884 0.272634 0.00070878 -0.16795 146.114 0.000118227 -3.68549e-06 0.00186483 0.000118574 0.99939 0.00407597 -6.02364e-07 -2.1227e-06 -0.00407597 0.999389 0.00114807 0.00186441 4.847e-06 -0.00114853 0.999205
1.4 0.000267929 145.861 0.0200339 -0.000623227 0.27188 0.0200924 145.771 0.593677 -0.000102748 -0.000359105 -0.593677 145.771 0.194259 0.271809 0.000819386 -0.194336 145.744 0.00013735 -4.27276e-06 0.00186397 0.000137751 0.999388 0.00407017 -7.04429e-07 -2.46197e-06 -0.00407017 0.999387 0.00133182 0.00186348 5.6176e-06 -0.00133234 0.999201
1.5 0.000287062 145.464 0.0229776 -0.000713216 0.271006 0.0230444 145.374 0.591156 -0.000118676 -0.000411142 -0.591156 145.374 0.222453 0.270925 0.000937387 -0.222541 145.347 0.000157961 -4.90305e-06 0.00186305 0.00015842 0.999385 0.00406394 -8.15847e-07 -2.82642e-06 -0.00406394 0.999384 0.00152927 0.00186249 6.44413e-06 -0.00152987 0.999197
1.6 0.000306195 145.041 0.0261185 -0.000808785 0.270074 0.0261939 144.951 0.588471 -0.000135904 -0.00046646 -0.58847 144.951 0.252436 0.269982 0.00106262 -0.252535 144.924 0.000180077 -5.57626e-06 0.00186206 0.000180597 0.999382 0.00405728 -9.37006e-07 -3.21606e-06 -0.00405728 0.999381 0.00174045 0.00186142 7.32632e-06 -0.00174113 0.999193
1.7 0.000325327 144.592 0.0294554 -0.000909811 0.269084 0.0295399 144.502 0.585623 -0.00015447 -0.000524998 -0.585622 144.502 0.284178 0.268981 0.00119489 -0.28429 144.474 0.000203715 -6.29228e-06 0.00186099 0.000204299 0.99938 0.00405018 -1.06832e-06 -3.6309e-06 -0.00405018 0.999378 0.00196538 0.00186028 8.26392e-06 -0.00196616 0.999188
1.8 0.000344457 144.117 0.0329871 -0.00101617 0.268037 0.0330811 144.027 0.582614 -0.000174414 -0.000586692 -0.582613 144.026 0.317647 0.267922 0.00133403 -0.317772 143.999 0.000228892 -7.051e-06 0.00185986 0.000229544 0.999377 0.00404265 -1.21023e-06 -4.07095e-06 -0.00404265 0.999374 0.0022041 0.00185906 9.25663e-06 -0.00220496 0.999183
1.9 0.000363587 143.616 0.0367122 -0.00112771 0.266932 0.036816 143.526 0.579446 -0.000195778 -0.000651475 -0.579445 143.526 0.352809 0.266806 0.00147984 -0.352947 143.498 0.000255628 -7.85229e-06 0.00185865 0.00025635 0.999373 0.00403469 -1.3632e-06 -4.53623e-06 -0.00403468 0.99937 0.00245661 0.00185777 1.03042e-05 -0.00245758 0.999178
2 0.000382716 143.09 0.0406294 -0.00124431 0.265772 0.0407434 143 0.576122 -0.000218604 -0.000719279 -0.576121 142.999 0.389629 0.265633 0.00163211 -0.389781 142.972 0.000283943 -8.69601e-06 0.00185737 0.000284739 0.99937 0.00402629 -1.52774e-06 -5.02675e-06 -0.00402628 0.999366 0.00272296 0.0018564 1.14062e-05 -0.00272402 0.999172
2.1 0.000401843 142.539 0.0447371 -0.00136581 0.264555 0.0448616 142.449 0.572644 -0.000242938 -0.000790028 -0.572643 142.448 0.428069 0.264403 0.00179062 -0.428236 142.42 0.000313859 -9.58202e-06 0.00185602 0.000314732 0.999366 0.00401746 -1.70436e-06 -5.54254e-06 -0.00401744 0.999362 0.00300317 0.00185495 1.25623e-05 -0.00300434 0.999166
2.2 0.000420969 141.963 0.0490339 -0.00149206 0.263283 0.0491691 141.873 0.569015 -0.000268824 -0.000863647 -0.569012 141.872 0.46809 0.263118 0.00195515 -0.468272 141.844 0.000345399 -1.05102e-05 0.00185459 0.000346351 0.999363 0.00400818 -1.89362e-06 -6.0836e-06 -0.00400817 0.999357 0.00329727 0.00185343 1.37722e-05 -0.00329855 0.999159
2.3 0.000440094 141.363 0.0535181 -0.00162289 0.261956 0.0536644 141.272 0.565235 -0.000296311 -0.000940057 -0.565233 141.271 0.509653 0.261778 0.00212547 -0.50985 141.243 0.000378587 -1.14803e-05 0.00185308 0.000379622 0.999358 0.00399847 -2.0961e-06 -6.64996e-06 -0.00399846 0.999352 0.00360529 0.00185182 1.50356e-05 -0.00360668 0.999152
2.4 0.000459218 140.738 0.058188 -0.00175814 0.260575 0.0583455 140.647 0.561309 -0.000325445 -0.00101918 -0.561306 140.646 0.552715 0.260384 0.00230134 -0.552928 140.618 0.000413449 -1.24923e-05 0.00185149 0.000414568 0.999354 0.00398833 -2.31242e-06 -7.24165e-06 -0.00398831 0.999346 0.00392726 0.00185013 1.63519e-05 -0.00392878 0.999144
2.5 0.00047834 140.089 0.0630419 -0.00189764 0.25914 0.0632108 139.998 0.55724 -0.000356276 -0.00110092 -0.557236 139.997 0.597233 0.258935 0.0024825 -0.597463 139.969 0.000450012 -1.35459e-05 0.00184982 0.000451217 0.99935 0.00397774 -2.5432e-06 -7.85868e-06 -0.00397771 0.999341 0.00426323 0.00184836 1.77208e-05 -0.00426487 0.999136
2.6 0.000497461 139.417 0.0680779 -0.0020412 0.257653 0.0682583 139.326 0.553028 -0.000388852 -0.0011852 -0.553024 139.324 0.643163 0.257434 0.00266871 -0.643409 139.296 0.000488303 -1.46409e-05 0.00184807 0.000489597 0.999345 0.00396671 -2.78913e-06 -8.50108e-06 -0.00396668 0.999334 0.00461322 0.0018465 1.91419e-05 -0.00461499 0.999128
2.7 0.00051658 138.722 0.073294 -0.00218865 0.256112 0.0734861 138.63 0.548678 -0.000423224 -0.00127192 -0.548674 138.629 0.690457 0.25588 0.0028597 -0.69072 138.6 0.000528352 -1.57773e-05 0.00184623 0.000529738 0.99934 0.00395524 -3.05089e-06 -9.16888e-06 -0.00395521 0.999328 0.00497728 0.00184456 2.06146e-05 -0.00497918 0.999119
2.8 0.000535698 138.003 0.0786883 -0.00233981 0.254521 0.0788922 137.912 0.544193 -0.000459442 -0.001361 -0.544188 137.91 0.739069 0.254274 0.0030552 -0.73935 137.88 0.000570191 -1.69547e-05 0.00184431 0.000571669 0.999335 0.00394333 -3.32921e-06 -9.86211e-06 -0.00394329 0.999321 0.00535544 0.00184252 2.21386e-05 -0.00535748 0.999109
2.9 0.000554814 137.262 0.0842587 -0.00249447 0.252878 0.0844745 137.17 0.539575 -0.000497556 -0.00145235 -0.539569 137.168 0.78895 0.252618 0.00325493 -0.789248 137.139 0.000613852 -1.8173e-05 0.0018423 0.000615424 0.99933 0.00393098 -3.62486e-06 -1.05808e-05 -0.00393093 0.999313 0.00574775 0.0018404 2.37132e-05 -0.00574993 0.999099
3 0.000573928 136.499 0.0900031 -0.00265244 0.251185 0.0902307 136.407 0.534828 -0.000537617 -0.00154585 -0.534821 136.404 0.840049 0.250911 0.00345862 -0.840366 136.375 0.000659368 -1.94319e-05 0.00184019 0.000661035 0.999325 0.00391818 -3.93861e-06 -1.1325e-05 -0.00391813 0.999305 0.00615425 0.00183819 2.53381e-05 -0.00615657 0.999089
3.1 0.00059304 135.714 0.0959193 -0.00281352 0.249442 0.0961586 135.621 0.529954 -0.000579674 -0.00164142 -0.529946 135.618 0.892317 0.249155 0.00366598 -0.892652 135.589 0.000706775 -2.07313e-05 0.001838 0.000708539 0.999319 0.00390493 -4.27129e-06 -1.20947e-05 -0.00390487 0.999297 0.00657499 0.00183588 2.70126e-05 -0.00657745 0.999077
3.2 0.000612151 134.907 0.102005 -0.00297751 0.247651 0.102256 134.815 0.524957 -0.000623777 -0.00173896 -0.524948 134.811 0.9457 0.24735 0.00387672 -0.946054 134.781 0.000756111 -2.20708e-05 0.00183571 0.000757971 0.999313 0.00389124 -4.62375e-06 -1.289e-05 -0.00389118 0.999288 0.00701 0.00183348 2.87362e-05 -0.00701262 0.999066
3.3 0.00063126 134.08 0.108258 -0.0031442 0.245811 0.10852 133.987 0.519841 -0.000669977 -0.00183836 -0.51983 133.983 1.00015 0.245498 0.00409053 -1.00052 133.953 0.000807412 -2.34502e-05 0.00183332 0.000809371 0.999307 0.0038771 -4.99686e-06 -1.37109e-05 -0.00387703 0.999278 0.00745934 0.00183098 3.05082e-05 -0.00746212 0.999053
3.4 0.000650367 133.231 0.114675 -0.00331338 0.243925 0.114949 133.138 0.514608 -0.000718321 -0.00193952 -0.514596 133.134 1.0556 0.243598 0.00430713 -1.05599 133.103 0.00086072 -2.48694e-05 0.00183084 0.000862777 0.9993 0.00386251 -5.39153e-06 -1.45575e-05 -0.00386243 0.999268 0.00792306 0.00182838 3.23282e-05 -0.00792599 0.99904
3.5 0.000669472 132.363 0.121254 -0.00348484 0.241992 0.12154 132.269 0.509262 -0.000768858 -0.00204233 -0.509249 132.264 1.11201 0.241652 0.0045262 -1.11242 132.234 0.000916076 -2.63279e-05 0.00182825 0.000918232 0.999293 0.00384748 -5.80872e-06 -1.54298e-05 -0.00384738 0.999257 0.00840121 0.00182568 3.41954e-05 -0.0084043 0.999026
3.6 0.000688575 131.474 0.127993 -0.00365835 0.240013 0.12829 131.38 0.503807 -0.000821633 -0.0021467 -0.503793 131.375 1.16931 0.239662 0.00474744 -1.16974 131.344 0.000973523 -2.78256e-05 0.00182555 0.000975778 0.999286 0.00383198 -6.24939e-06 -1.63279e-05 -0.00383188 0.999246 0.00889384 0.00182288 3.61093e-05 -0.0088971 0.999011
3.7 0.000707676 130.566 0.134889 -0.00383371 0.23799 0.135196 130.472 0.498246 -0.000876694 -0.0022525 -0.49823 130.466 1.22745 0.237627 0.00497054 -1.2279 130.435 0.00103311 -2.93622e-05 0.00182275 0.00103546 0.999279 0.00381604 -6.71455e-06 -1.72518e-05 -0.00381592 0.999234 0.00940101 0.00181997 3.80691e-05 -0.00940443 0.998995
3.8 0.000726775 129.639 0.141939 -0.00401069 0.235923 0.142257 129.545 0.492582 -0.000934083 -0.00235964 -0.492565 129.538 1.28638 0.235548 0.00519518 -1.28685 129.507 0.00109488 -3.09373e-05 0.00181984 0.00109733 0.999272 0.00379964 -7.20525e-06 -1.82016e-05 -0.00379951 0.999221 0.00992276 0.00181695 4.00741e-05 -0.00992636 0.998979
3.9 0.000745871 128.694 0.14914 -0.00418907 0.233813 0.149468 128.599 0.486821 -0.000993845 -0.002468 -0.486802 128.592 1.34603 0.233428 0.00542105 -1.34652 128.56 0.00115888 -3.25507e-05 0.00181681 0.00116142 0.999264 0.00378278 -7.72255e-06 -1.91773e-05 -0.00378263 0.999208 0.0104592 0.00181382 4.21237e-05 -0.0104629 0.998962
4 0.000764965 127.73 0.15649 -0.00436862 0.231661 0.156827 127.635 0.480964 -0.00105602 -0.00257748 -0.480943 127.627 1.40635 0.231266 0.00564784 -1.40685 127.595 0.00122516 -3.4202e-05 0.00181367 0.0012278 0.999256 0.00376547 -8.26757e-06 -2.01791e-05 -0.00376531 0.999194 0.0110103 0.00181058 4.4217e-05 -0.0110142 0.998944
4.1 0.000784057 126.749 0.163985 -0.00454913 0.229468 0.164332 126.654 0.475016 -0.00112064 -0.00268796 -0.474994 126.645 1.46727 0.229063 0.00587523 -1.46779 126.613 0.00129378 -3.58908e-05 0.00181041 0.00129651 0.999248 0.00374769 -8.84145e-06 -2.1207e-05 -0.00374751 0.999179 0.0115762 0.00180722 4.63533e-05 -0.0115803 0.998925
4.2 0.000803147 125.751 0.171622 -0.00473036 0.227235 0.171978 125.655 0.468981 -0.00118776 -0.00279934 -0.468957 125.645 1.52874 0.226821 0.0061029 -1.52928 125.613 0.00136478 -3.7617e-05 0.00180703 0.00136761 0.999239 0.00372946 -9.44537e-06 -2.2261e-05 -0.00372926 0.999163 0.0121569 0.00180374 4.85318e-05 -0.0121612 0.998905
