theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 1.91732 1.03645e-17 1.47483e-18 -3.06409e-05 1.10097e-17 1.91515 -7.27452e-05 -8.32342e-19 1.86331e-18 7.27452e-05 1.91515 1.52193e-18 -3.06459e-05 1.06211e-18 -7.99578e-19 1.91301 5.40574e-18 7.69216e-19 -1.59811e-05 5.74222e-18 0.998869 -3.79411e-05 -4.34118e-19 9.71829e-19 3.79411e-05 0.998869 7.93778e-19 -1.59837e-05 5.53954e-19 -4.17029e-19 0.997751
0.1 1.91397e-05 1.91731 -9.51931e-07 3.03408e-11 -3.06406e-05 -9.51929e-07 1.91514 -7.27445e-05 -4.16421e-11 -2.93392e-11 7.27445e-05 1.91514 1.83618e-06 -3.06456e-05 -3.31707e-11 -1.83618e-06 1.91299 -4.96494e-07 1.58247e-11 -1.59811e-05 -4.96493e-07 0.998869 -3.7941e-05 -2.17191e-11 -1.53023e-11 3.7941e-05 0.998869 9.57689e-07 -1.59837e-05 -1.73007e-11 -9.57687e-07 0.997751
0.2 3.82793e-05 1.91726 -3.80761e-06 1.21359e-10 -3.06397e-05 -3.8076e-06 1.9151 -7.27425e-05 -1.66565e-10 -1.17352e-10 7.27425e-05 1.9151 7.3446e-06 -3.06446e-05 -1.3268e-10 -7.34459e-06 1.91295 -1.98596e-06 6.32979e-11 -1.59809e-05 -1.98595e-06 0.998869 -3.79408e-05 -8.68763e-11 -6.12081e-11 3.79408e-05 0.998869 3.83077e-06 -1.59835e-05 -6.92029e-11 -3.83077e-06 0.997751
0.3 5.74188e-05 1.91719 -8.56669e-06 2.73042e-10 -3.06381e-05 -8.56667e-06 1.91503 -7.27391e-05 -3.74757e-10 -2.64023e-10 7.27391e-05 1.91503 1.65249e-05 -3.0643e-05 -2.9852e-10 -1.65249e-05 1.91288 -4.46835e-06 1.42418e-10 -1.59807e-05 -4.46833e-06 0.998869 -3.79404e-05 -1.95472e-10 -1.37713e-10 3.79404e-05 0.998869 8.61931e-06 -1.59833e-05 -1.55707e-10 -8.6193e-06 0.997751
0.4 7.65581e-05 1.9171 -1.52286e-05 4.8537e-10 -3.0636e-05 -1.52285e-05 1.91493 -7.27343e-05 -6.66202e-10 -4.69327e-10 7.27343e-05 1.91493 2.93764e-05 -3.06408e-05 -5.30677e-10 -2.93764e-05 1.91279 -7.94356e-06 2.5318e-10 -1.59804e-05 -7.94354e-06 0.998869 -3.79398e-05 -3.47505e-10 -2.44811e-10 3.79398e-05 0.998869 1.53234e-05 -1.59829e-05 -2.76813e-10 -1.53234e-05 0.997751
0.5 9.56972e-05 1.91697 -2.37925e-05 7.58315e-10 -3.06332e-05 -2.37924e-05 1.91481 -7.27282e-05 -1.04087e-09 -7.33229e-10 7.27282e-05 1.91481 4.58984e-05 -3.0638e-05 -8.29131e-10 -4.58983e-05 1.91266 -1.24115e-05 3.95579e-10 -1.598e-05 -1.24115e-05 0.998869 -3.79391e-05 -5.42977e-10 -3.82493e-10 3.79391e-05 0.998869 2.39431e-05 -1.59825e-05 -4.32521e-10 -2.39431e-05 0.997751
0.6 0.000114836 1.91682 -3.42574e-05 1.09184e-09 -3.06298e-05 -3.42573e-05 1.91465 -7.27207e-05 -1.49874e-09 -1.05568e-09 7.27207e-05 1.91465 6.60896e-05 -3.06345e-05 -1.19386e-09 -6.60895e-05 1.91251 -1.7872e-05 5.69609e-10 -1.59795e-05 -1.78719e-05 0.998869 -3.79382e-05 -7.81887e-10 -5.50746e-10 3.79382e-05 0.998869 3.44787e-05 -1.59819e-05 -6.22832e-10 -3.44787e-05 0.997751
0.7 0.000133974 1.91664 -4.6622e-05 1.4859e-09 -3.06257e-05 -4.66218e-05 1.91448 -7.27119e-05 -2.03976e-09 -1.43663e-09 7.27119e-05 1.91448 8.99487e-05 -3.06304e-05 -1.62483e-09 -8.99485e-05 1.91233 -2.43248e-05 7.75261e-10 -1.59788e-05 -2.43247e-05 0.998869 -3.79371e-05 -1.06423e-09 -7.49557e-10 3.79371e-05 0.998869 4.69303e-05 -1.59813e-05 -8.47747e-10 -4.69302e-05 0.997751
0.8 0.000153112 1.91644 -6.08848e-05 1.94044e-09 -3.06211e-05 -6.08846e-05 1.91427 -7.27017e-05 -2.66388e-09 -1.87601e-09 7.27017e-05 1.91427 0.000117474 -3.06257e-05 -2.122e-09 -0.000117474 1.91213 -3.17698e-05 1.01253e-09 -1.59781e-05 -3.17697e-05 0.998869 -3.79359e-05 -1.39002e-09 -9.78908e-10 3.79359e-05 0.998869 6.12982e-05 -1.59806e-05 -1.10727e-09 -6.12981e-05 0.997751
0.9 0.00017225 1.9162 -7.7044e-05 2.4554e-09 -3.06158e-05 -7.70438e-05 1.91403 -7.26902e-05 -3.37107e-09 -2.37375e-09 7.26902e-05 1.91403 0.000148664 -3.06204e-05 -2.68535e-09 -0.000148664 1.91189 -4.02066e-05 1.28139e-09 -1.59774e-05 -4.02065e-05 0.998869 -3.79345e-05 -1.75924e-09 -1.23878e-09 3.79345e-05 0.998869 7.75826e-05 -1.59797e-05 -1.40139e-09 -7.75825e-05 0.997751
