theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.699634 5.16304e-18 1.55959e-19 -9.62339e-06 6.02654e-18 0.698084 9.43597e-06 0 2.91023e-19 -9.43597e-06 0.698084 4.33318e-19 -9.62676e-06 0 -8.26556e-19 0.696541 7.37962e-18 2.22915e-19 -1.37549e-05 8.61384e-18 0.997784 1.3487e-05 0 4.15965e-19 -1.3487e-05 0.997784 6.1935e-19 -1.37597e-05 0 -1.18141e-18 0.995578
0.1 1.91397e-05 0.699631 -5.32457e-07 -4.19321e-12 -9.6234e-06 -5.32456e-07 0.698081 9.43593e-06 -2.76282e-12 8.32342e-12 -9.43593e-06 0.698081 3.29053e-07 -9.62677e-06 -4.66059e-12 -3.29052e-07 0.696537 -7.61054e-07 -5.99346e-12 -1.3755e-05 -7.61054e-07 0.997784 1.3487e-05 -3.94897e-12 1.18969e-11 -1.3487e-05 0.997784 4.70324e-07 -1.37598e-05 -6.66149e-12 -4.70322e-07 0.995578
0.2 3.82793e-05 0.69962 -2.12979e-06 -1.67725e-11 -9.62344e-06 -2.12979e-06 0.69807 9.4358e-06 -1.10507e-11 3.32933e-11 -9.4358e-06 0.69807 1.3162e-06 -9.62681e-06 -1.86416e-11 -1.31619e-06 0.696526 -3.04421e-06 -2.39737e-11 -1.37552e-05 -3.04421e-06 0.997784 1.3487e-05 -1.57954e-11 4.75876e-11 -1.3487e-05 0.997784 1.88131e-06 -1.37601e-05 -2.66454e-11 -1.8813e-06 0.995578
0.3 5.74188e-05 0.699601 -4.7919e-06 -3.77369e-11 -9.62351e-06 -4.7919e-06 0.698051 9.4356e-06 -2.4862e-11 7.4908e-11 -9.4356e-06 0.698051 2.9614e-06 -9.62687e-06 -4.19412e-11 -2.96138e-06 0.696508 -6.84947e-06 -5.39406e-11 -1.37557e-05 -6.84947e-06 0.997784 1.34871e-05 -3.55373e-11 1.07072e-10 -1.34871e-05 0.997784 4.23298e-06 -1.37605e-05 -5.99501e-11 -4.23296e-06 0.995578
0.4 7.65581e-05 0.699576 -8.51861e-06 -6.7085e-11 -9.6236e-06 -8.5186e-06 0.698026 9.43531e-06 -4.41936e-11 1.33165e-10 -9.43531e-06 0.698026 5.26458e-06 -9.62696e-06 -7.45559e-11 -5.26456e-06 0.696482 -1.21768e-05 -9.58938e-11 -1.37563e-05 -1.21768e-05 0.997784 1.34872e-05 -6.31719e-11 1.90352e-10 -1.34872e-05 0.997784 7.52539e-06 -1.37611e-05 -1.06573e-10 -7.52535e-06 0.995578
0.5 9.56972e-05 0.699543 -1.33097e-05 -1.04815e-10 -9.62372e-06 -1.33097e-05 0.697993 9.43494e-06 -6.90413e-11 2.08062e-10 -9.43494e-06 0.697993 8.22565e-06 -9.62708e-06 -1.16481e-10 -8.22561e-06 0.696449 -1.90262e-05 -1.49833e-10 -1.37572e-05 -1.90262e-05 0.997784 1.34873e-05 -9.86949e-11 2.97425e-10 -1.34873e-05 0.997784 1.17586e-05 -1.3762e-05 -1.6651e-10 -1.17586e-05 0.995578
0.6 0.000114836 0.699503 -1.91648e-05 -1.50923e-10 -9.62387e-06 -1.91647e-05 0.697952 9.43449e-06 -9.93999e-11 2.99593e-10 -9.43449e-06 0.697952 1.18445e-05 -9.62723e-06 -1.67711e-10 -1.18444e-05 0.696409 -2.73977e-05 -2.15757e-10 -1.37582e-05 -2.73977e-05 0.997784 1.34874e-05 -1.42101e-10 4.28295e-10 -1.34874e-05 0.997784 1.69327e-05 -1.3763e-05 -2.39757e-10 -1.69327e-05 0.995578
0.7 0.000133974 0.699455 -2.60835e-05 -2.05406e-10 -9.62405e-06 -2.60835e-05 0.697905 9.43396e-06 -1.35263e-10 4.07755e-10 -9.43396e-06 0.697905 1.61209e-05 -9.62739e-06 -2.28238e-10 -1.61209e-05 0.696362 -3.72912e-05 -2.93666e-10 -1.37594e-05 -3.72911e-05 0.997784 1.34876e-05 -1.93383e-10 5.82961e-10 -1.34876e-05 0.997784 2.30479e-05 -1.37641e-05 -3.26309e-10 -2.30478e-05 0.995578
0.8 0.000153112 0.6994 -3.40654e-05 -2.6826e-10 -9.62425e-06 -3.40654e-05 0.69785 9.43334e-06 -1.76623e-10 5.32539e-10 -9.43334e-06 0.69785 2.10548e-05 -9.62759e-06 -2.98054e-10 -2.10547e-05 0.696307 -4.87066e-05 -3.83558e-10 -1.37607e-05 -4.87066e-05 0.997784 1.34878e-05 -2.52534e-10 7.61423e-10 -1.34878e-05 0.997784 3.01041e-05 -1.37655e-05 -4.26157e-10 -3.0104e-05 0.995578
0.9 0.00017225 0.699338 -4.311e-05 -3.39481e-10 -9.62448e-06 -4.311e-05 0.697788 9.43264e-06 -2.2347e-10 6.7394e-10 -9.43264e-06 0.697788 2.6646e-05 -9.62781e-06 -3.77148e-10 -2.66458e-05 0.696245 -6.1644e-05 -4.85433e-10 -1.37623e-05 -6.1644e-05 0.997783 1.3488e-05 -3.19545e-10 9.63684e-10 -1.3488e-05 0.997783 3.81017e-05 -1.3767e-05 -5.39294e-10 -3.81015e-05 0.995577
