theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 8094.68 5.26886e-14 5.43942e-15 5.36547 5.234e-14 8093.59 -1.61754 8.61788e-16 5.63209e-15 1.61754 8093.59 1.33099e-15 5.36546 -5.67688e-16 -9.13631e-16 8092.92 6.50904e-18 6.71975e-19 0.000662839 6.46598e-18 0.999865 -0.000199828 1.06464e-19 6.95777e-19 0.000199828 0.999865 1.64428e-19 0.000662838 -7.0131e-20 -1.12868e-19 0.999783
0.1 1.91397e-05 8087.57 -0.00141009 0.00115367 5.35862 -0.00143855 8086.47 -1.61558 -0.000462322 0.00122917 1.61558 8086.47 0.160945 5.35868 0.000427182 -0.160935 8085.81 -1.74353e-07 1.42648e-07 0.000662576 -1.77872e-07 0.999865 -0.000199761 -5.71645e-08 1.51983e-07 0.000199761 0.999865 1.99003e-05 0.000662582 5.28196e-08 -1.98991e-05 0.999783
0.2 3.82793e-05 8066.26 -0.00563971 0.00460583 5.33813 -0.0057533 8065.17 -1.60971 -0.00184585 0.00490692 1.60971 8065.17 0.642373 5.33836 0.00170551 -0.642332 8064.51 -6.99173e-07 5.70999e-07 0.000661785 -7.13255e-07 0.999865 -0.000199561 -2.28836e-07 6.08327e-07 0.000199561 0.999865 7.9637e-05 0.000661814 2.11438e-07 -7.96319e-05 0.999783
0.3 5.74188e-05 8030.86 -0.0126869 0.0103299 5.30411 -0.0129416 8029.77 -1.59997 -0.0041403 0.011004 1.59997 8029.77 1.44007 5.30465 0.00382538 -1.43998 8029.11 -1.57977e-06 1.28628e-06 0.000660467 -1.61149e-06 0.999864 -0.000199228 -5.15549e-07 1.37022e-06 0.000199228 0.999864 0.000179317 0.000660534 4.76335e-07 -0.000179306 0.999782
0.4 7.65581e-05 7981.52 -0.0225488 0.0182819 5.25679 -0.0229992 7980.43 -1.58643 -0.00732865 0.0194721 1.58643 7980.43 2.54706 5.25774 0.00677086 -2.5469 7979.77 -2.82512e-06 2.29053e-06 0.00065862 -2.88156e-06 0.999864 -0.000198763 -9.18203e-07 2.43965e-06 0.000198763 0.999864 0.00031912 0.00065874 8.48317e-07 -0.000319099 0.999781
0.5 9.56972e-05 7918.48 -0.0352213 0.0284005 5.19645 -0.0359206 7917.39 -1.56918 -0.0113873 0.0302439 1.56918 7917.39 3.95367 5.19793 0.0105199 -3.95342 7916.73 -4.44799e-06 3.58662e-06 0.000656244 -4.53631e-06 0.999863 -0.000198167 -1.43807e-06 3.81941e-06 0.000198167 0.999863 0.000499297 0.000656431 1.32853e-06 -0.000499265 0.99978
0.6 0.000114836 7842.01 -0.0507002 0.040608 5.12348 -0.0516993 7840.93 -1.54832 -0.0162864 0.0432337 1.54833 7840.93 5.64762 5.12558 0.0150446 -5.64726 7840.28 -6.4652e-06 5.17826e-06 0.000653337 -6.5926e-06 0.999862 -0.00019744 -2.07681e-06 5.51309e-06 0.00019744 0.999862 0.000720175 0.000653605 1.91846e-06 -0.000720129 0.999779
0.7 0.000133974 7752.48 -0.0689811 0.0548101 5.03831 -0.0703283 7751.41 -1.52401 -0.0219899 0.0583383 1.52401 7751.4 7.61415 5.04114 0.0203112 -7.61367 7750.75 -8.89794e-06 7.07001e-06 0.000649896 -9.07171e-06 0.999861 -0.000196583 -2.8365e-06 7.52511e-06 0.000196584 0.999861 0.000982157 0.000650261 2.61996e-06 -0.000982095 0.999777
0.8 0.000153112 7650.29 -0.09006 0.0708975 4.94147 -0.0918006 7649.22 -1.49639 -0.0284562 0.0754375 1.4964 7649.21 9.83616 4.94511 0.026281 -9.83554 7648.56 -1.17721e-05 9.26729e-06 0.00064592 -1.19996e-05 0.99986 -0.000195599 -3.71963e-06 9.86073e-06 0.0001956 0.999859 0.00128572 0.000646395 3.4353e-06 -0.00128564 0.999774
0.9 0.00017225 7535.89 -0.113934 0.0887457 4.83356 -0.11611 7534.83 -1.46565 -0.0356385 0.0943951 1.46567 7534.82 12.2944 4.83807 0.0329102 -12.2936 7534.17 -1.51189e-05 1.17764e-05 0.000641405 -1.54076e-05 0.999858 -0.000194489 -4.72917e-06 1.25261e-05 0.000194491 0.999857 0.00163144 0.000642004 4.36713e-06 -0.00163134 0.999772
