theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 753.473 3.61104e-15 2.99942e-16 0.788738 3.59889e-15 753.172 1.59901 7.4657e-18 2.456e-16 -1.59901 753.172 9.65442e-17 0.78874 -2.73925e-17 -1.29892e-16 753.01 4.79253e-18 3.98079e-19 0.0010468 4.77639e-18 0.999599 0.00212219 9.90838e-21 3.25958e-19 -0.00212219 0.999599 1.28132e-19 0.0010468 -3.63549e-20 -1.72391e-19 0.999384
0.1 1.91397e-05 753.298 -0.000164092 2.19453e-05 0.788478 -0.000158596 752.996 1.59838 -6.42066e-06 3.45587e-05 -1.59838 752.996 0.00724931 0.788482 2.33539e-05 -0.00725347 752.834 -2.17832e-07 2.91324e-08 0.0010467 -2.10535e-07 0.999599 0.00212184 -8.5234e-09 4.58766e-08 -0.00212184 0.999599 9.62343e-06 0.00104671 3.10023e-08 -9.62895e-06 0.999384
0.2 3.82793e-05 752.77 -0.000655868 8.77251e-05 0.787697 -0.000633898 752.468 1.59648 -2.57001e-05 0.000138141 -1.59648 752.468 0.0289796 0.787709 9.33547e-05 -0.0289962 752.306 -8.71272e-07 1.16536e-07 0.0010464 -8.42088e-07 0.999599 0.00212081 -3.41407e-08 1.8351e-07 -0.00212081 0.999599 3.84972e-05 0.00104641 1.24015e-07 -3.85193e-05 0.999384
0.3 5.74188e-05 751.891 -0.00147382 0.000197171 0.786398 -0.00142446 751.589 1.59333 -5.78905e-05 0.000310465 -1.59333 751.589 0.0651378 0.786422 0.000209819 -0.0651751 751.427 -1.96015e-06 2.62233e-07 0.00104589 -1.8945e-06 0.999599 0.00211909 -7.69931e-08 4.12912e-07 -0.00211909 0.999599 8.66319e-05 0.00104593 2.79056e-07 -8.66815e-05 0.999383
0.4 7.65581e-05 750.663 -0.00261545 0.000350002 0.784583 -0.00252786 750.361 1.58891 -0.000103078 0.000551062 -1.58891 750.361 0.115636 0.784624 0.000372444 -0.115702 750.199 -3.48419e-06 4.66257e-07 0.00104519 -3.36751e-06 0.999598 0.00211668 -1.37316e-07 7.34101e-07 -0.00211668 0.999598 0.000154045 0.00104524 4.96154e-07 -0.000154133 0.999382
0.5 9.56972e-05 749.086 -0.00407727 0.000545827 0.782254 -0.00394074 748.784 1.58325 -0.000161383 0.000859279 -1.58326 748.784 0.18035 0.782316 0.000580804 -0.180454 748.622 -5.44299e-06 7.28658e-07 0.00104428 -5.26074e-06 0.999597 0.00211358 -2.15441e-07 1.1471e-06 -0.00211358 0.999597 0.000240761 0.00104436 7.7535e-07 -0.000240899 0.999381
0.6 0.000114836 747.162 -0.00585479 0.000784145 0.779416 -0.00565878 746.86 1.57636 -0.000232958 0.00123428 -1.57636 746.86 0.259124 0.779504 0.000834355 -0.259272 746.698 -7.83603e-06 1.0495e-06 0.00104317 -7.5737e-06 0.999596 0.0021098 -3.11791e-07 1.65195e-06 -0.0021098 0.999596 0.000346811 0.00104329 1.1167e-06 -0.00034701 0.999379
0.7 0.000133974 744.895 -0.00794258 0.00106434 0.776072 -0.00767674 744.593 1.56824 -0.000317986 0.00167504 -1.56824 744.593 0.351765 0.776191 0.00113244 -0.351966 744.431 -1.06627e-05 1.42885e-06 0.00104185 -1.03058e-05 0.999595 0.00210532 -4.26887e-07 2.24869e-06 -0.00210532 0.999595 0.000472235 0.00104201 1.52026e-06 -0.000472505 0.999377
0.8 0.000153112 742.286 -0.0103342 0.00138571 0.772229 -0.00998844 741.984 1.55892 -0.000416678 0.00218037 -1.55892 741.984 0.458048 0.772382 0.00147427 -0.458309 741.822 -1.39222e-05 1.86682e-06 0.00104034 -1.34563e-05 0.999593 0.00210016 -5.61345e-07 2.93737e-06 -0.00210016 0.999593 0.000617078 0.00104055 1.98612e-06 -0.000617429 0.999375
0.9 0.00017225 739.34 -0.0130224 0.00174742 0.767894 -0.0125868 739.038 1.5484 -0.000529275 0.00274889 -1.5484 739.037 0.577714 0.768085 0.00185896 -0.578043 738.875 -1.76136e-05 2.36349e-06 0.00103862 -1.70244e-05 0.999592 0.0020943 -7.15876e-07 3.71804e-06 -0.0020943 0.999591 0.000781392 0.00103888 2.51435e-06 -0.000781837 0.999372
