theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 12.7319 1.01685e-16 5.01646e-18 -0.00471169 1.00235e-16 12.7075 0.0256939 -1.54144e-17 4.7138e-18 -0.0256939 12.7075 5.31399e-18 -0.00471171 1.42108e-17 -7.06816e-18 12.6905 7.98663e-18 3.94008e-19 -0.000370071 7.87276e-18 0.998086 0.00201808 -1.2107e-18 3.70237e-19 -0.00201808 0.998086 4.17377e-19 -0.000370072 1.11616e-18 -5.55155e-19 0.996755
0.1 1.91397e-05 12.7313 4.57237e-06 1.71918e-09 -0.00471122 4.58204e-06 12.7069 0.0256927 6.46644e-08 -1.14319e-08 -0.0256927 12.7069 4.08172e-05 -0.00471122 4.52007e-08 -4.08067e-05 12.69 3.59144e-07 1.35036e-10 -0.00037005 3.59904e-07 0.998086 0.00201807 5.07917e-09 -8.97933e-10 -0.00201807 0.998086 3.20605e-06 -0.00037005 3.55036e-09 -3.20523e-06 0.996755
0.2 3.82793e-05 12.7296 1.82899e-05 6.86942e-09 -0.00470978 1.83286e-05 12.7053 0.025689 2.58624e-07 -4.57173e-08 -0.025689 12.7053 0.000163252 -0.00470975 1.80783e-07 -0.00016321 12.6883 1.4368e-06 5.3964e-10 -0.000369986 1.43984e-06 0.998085 0.00201805 2.03167e-08 -3.59141e-09 -0.00201805 0.998085 1.28246e-05 -0.000369983 1.42017e-08 -1.28213e-05 0.996755
0.3 5.74188e-05 12.7269 4.1154e-05 1.54288e-08 -0.0047074 4.1241e-05 12.7025 0.0256829 5.81776e-07 -1.02826e-07 -0.0256829 12.7025 0.000367256 -0.00470731 4.06687e-07 -0.000367161 12.6856 3.23363e-06 1.2123e-09 -0.000369879 3.24047e-06 0.998085 0.00201801 4.57124e-08 -8.07945e-09 -0.00201801 0.998085 2.88567e-05 -0.000369872 3.1955e-08 -2.88493e-05 0.996755
0.4 7.65581e-05 12.723 7.31668e-05 2.73609e-08 -0.00470406 7.33214e-05 12.6986 0.0256744 1.03395e-06 -1.82707e-07 -0.0256744 12.6986 0.000652745 -0.00470388 7.22815e-07 -0.000652577 12.6817 5.75076e-06 2.15051e-09 -0.000369729 5.76291e-06 0.998085 0.00201796 8.12665e-08 -1.43604e-08 -0.00201796 0.998085 5.13044e-05 -0.000369716 5.68118e-08 -5.12912e-05 0.996754
0.5 9.56972e-05 12.718 0.000114331 4.26146e-08 -0.00469977 0.000114573 12.6936 0.0256635 1.61491e-06 -2.85291e-07 -0.0256635 12.6936 0.0010196 -0.00469949 1.12903e-06 -0.00101934 12.6767 8.98974e-06 3.35074e-09 -0.000369537 9.00873e-06 0.998084 0.00201789 1.26979e-07 -2.24321e-08 -0.00201789 0.998084 8.01703e-05 -0.000369515 8.87741e-08 -8.01497e-05 0.996754
0.6 0.000114836 12.7119 0.000164652 6.11244e-08 -0.00469452 0.000164999 12.6875 0.0256501 2.32436e-06 -4.10485e-07 -0.0256501 12.6875 0.00146769 -0.00469411 1.62515e-06 -0.00146731 12.6706 1.29526e-05 4.80845e-09 -0.000369302 1.29799e-05 0.998083 0.00201781 1.82849e-07 -3.22914e-08 -0.00201781 0.998083 0.000115458 -0.00036927 1.27845e-07 -0.000115428 0.996754
0.7 0.000133974 12.7047 0.000224132 8.28103e-08 -0.00468833 0.000224605 12.6803 0.0256343 3.16191e-06 -5.58179e-07 -0.0256343 12.6803 0.00199681 -0.00468777 2.21096e-06 -0.00199629 12.6634 1.76417e-05 6.5181e-09 -0.000369024 1.7679e-05 0.998083 0.00201771 2.48878e-07 -4.3935e-08 -0.00201771 0.998083 0.000157171 -0.00036898 1.74027e-07 -0.000157131 0.996753
0.8 0.000153112 12.6964 0.000292779 1.07578e-07 -0.00468119 0.000293397 12.672 0.0256161 4.12713e-06 -7.28242e-07 -0.0256161 12.672 0.00260675 -0.00468045 2.8862e-06 -0.00260608 12.6551 2.30601e-05 8.47312e-09 -0.000368704 2.31087e-05 0.998082 0.00201759 3.25064e-07 -5.73584e-08 -0.00201759 0.998082 0.000205315 -0.000368645 2.27325e-07 -0.000205262 0.996753
0.9 0.00017225 12.6869 0.000370599 1.35318e-07 -0.00467311 0.00037138 12.6626 0.0255955 5.21951e-06 -9.20523e-07 -0.0255955 12.6626 0.00329728 -0.00467217 3.65058e-06 -0.00329643 12.6457 2.9211e-05 1.06659e-08 -0.00036834 2.92726e-05 0.998081 0.00201747 4.11408e-07 -7.25568e-08 -0.00201747 0.998081 0.000259896 -0.000368266 2.87743e-07 -0.000259829 0.996752
