theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 25690.7 2.27234e-13 -1.14465e-15 -2.33347 2.27629e-13 25689.3 -4.49865 -6.45577e-15 -1.54293e-15 4.49865 25689.3 -4.03757e-15 -2.33352 5.29738e-15 3.67448e-15 25688.4 8.84498e-18 -4.45552e-20 -9.08292e-05 8.86034e-18 0.999943 -0.000175108 -2.51288e-19 -6.00577e-20 0.000175108 0.999943 -1.57161e-19 -9.08313e-05 2.06198e-19 1.43028e-19 0.99991
0.1 1.91397e-05 25652.1 0.0118657 0.0016339 -2.33404 0.0118213 25650.6 -4.49289 0.000606884 0.00153167 4.49289 25650.6 0.696714 -2.3342 -0.000761506 -0.696748 25649.8 4.62562e-07 6.36945e-08 -9.09883e-05 4.60834e-07 0.999943 -0.000175147 2.36583e-08 5.97095e-08 0.000175147 0.999943 2.71601e-05 -9.09945e-05 -2.96859e-08 -2.71615e-05 0.99991
0.2 3.82793e-05 25536.4 0.0471762 0.0065125 -2.33568 0.0469992 25534.9 -4.4756 0.00241512 0.00610375 4.4756 25534.9 2.77626 -2.33615 -0.00303153 -2.7764 25534.1 1.84741e-06 2.55028e-07 -9.14648e-05 1.84048e-06 0.999943 -0.000175264 9.45756e-08 2.39022e-07 0.000175264 0.999943 0.000108718 -9.1483e-05 -1.18714e-07 -0.000108723 0.99991
0.3 5.74188e-05 25344.7 0.105078 0.014567 -2.33819 0.104681 25343.2 -4.44687 0.0053877 0.013648 4.44687 25343.2 6.20704 -2.33917 -0.00676686 -6.20734 25342.4 4.14595e-06 5.74757e-07 -9.22559e-05 4.13029e-06 0.999942 -0.000175456 2.12577e-07 5.38495e-07 0.000175456 0.999942 0.000244905 -9.22944e-05 -2.66994e-07 -0.000244917 0.999909
0.4 7.65581e-05 25078.3 0.184166 0.0256844 -2.34124 0.183463 25076.9 -4.40677 0.00946375 0.0240522 4.40676 25076.9 10.937 -2.34292 -0.0118963 -10.9375 25076 7.34363e-06 1.02417e-06 -9.33571e-05 7.31561e-06 0.999942 -0.00017572 3.77368e-07 9.59084e-07 0.00017572 0.999942 0.000436112 -9.3424e-05 -4.74367e-07 -0.000436133 0.999908
0.5 9.56972e-05 24739.5 0.282514 0.0397097 -2.34437 0.281422 24738 -4.35544 0.0145597 0.0371631 4.35544 24738 16.8943 -2.34693 -0.018322 -16.8952 24737.2 1.14195e-05 1.60511e-06 -9.47622e-05 1.13754e-05 0.999941 -0.000176052 5.8852e-07 1.50218e-06 0.000176052 0.999941 0.00068289 -9.48657e-05 -7.40598e-07 -0.000682922 0.999907
0.6 0.000114836 24330.8 0.397709 0.0564492 -2.34701 0.396148 24329.4 -4.29308 0.0205709 0.0527894 4.29307 24329.4 23.9891 -2.35063 -0.0259212 -23.9902 24328.5 1.63459e-05 2.32007e-06 -9.64625e-05 1.62817e-05 0.999941 -0.000176446 8.45466e-07 2.16965e-06 0.000176446 0.99994 0.000985954 -9.66111e-05 -1.06536e-06 -0.000986001 0.999906
0.7 0.000133974 23855.5 0.526902 0.0756745 -2.34851 0.524795 23854 -4.21989 0.0273737 0.0707063 4.21988 23854 32.1142 -2.35334 -0.0345481 -32.1157 23853.2 2.20872e-05 3.17221e-06 -9.84474e-05 2.19989e-05 0.99994 -0.000176894 1.14748e-06 2.96394e-06 0.000176894 0.999939 0.0013462 -9.86497e-05 -1.44822e-06 -0.00134626 0.999904
0.8 0.000153112 23317.1 0.666862 0.0971273 -2.34812 0.664137 23315.7 -4.13616 0.0348278 0.0906604 4.13615 23315.7 41.1475 -2.3543 -0.0440369 -41.1494 23314.8 2.85997e-05 4.16549e-06 -0.000100704 2.84828e-05 0.999939 -0.000177387 1.49366e-06 3.88815e-06 0.000177387 0.999937 0.00176469 -0.000100969 -1.88861e-06 -0.00176477 0.999902
0.9 0.00017225 22719.8 0.814038 0.120524 -2.34505 0.810628 22718.4 -4.04221 0.0427789 0.112375 4.04219 22718.4 50.9539 -2.3527 -0.0542045 -50.9562 22717.6 3.58294e-05 5.30481e-06 -0.000103216 3.56793e-05 0.999937 -0.000177915 1.88288e-06 4.94612e-06 0.000177914 0.999935 0.0022427 -0.000103552 -2.38578e-06 -0.00224281 0.999899
1 0.000191387 22068.2 0.964632 0.145563 -2.33845 0.960475 22066.8 -3.9384 0.0510617 0.135557 3.93837 22066.7 61.3871 -2.34767 -0.0648536 -61.3899 22065.9 4.37115e-05 6.59608e-06 -0.000105965 4.35231e-05 0.999936 -0.000178465 2.31381e-06 6.14266e-06 0.000178464 0.999932 0.0027817 -0.000106383 -2.93879e-06 -0.00278183 0.999896
