theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 0.49391 2.96545e-18 0 -7.86898e-07 3.49811e-18 0.492931 1.2904e-05 0 0 -1.2904e-05 0.492931 -7.26652e-20 -7.86634e-07 0 7.26652e-20 0.491956 6.00402e-18 0 -1.5932e-06 7.08248e-18 0.998018 2.61262e-05 0 0 -2.61262e-05 0.998018 -1.47122e-19 -1.59267e-06 0 1.47122e-19 0.996042
0.1 1.91397e-05 0.493908 -4.14573e-07 -8.76177e-12 -7.86903e-07 -4.14573e-07 0.492929 1.29039e-05 1.66529e-12 1.10971e-11 -1.29039e-05 0.492929 2.52497e-07 -7.86639e-07 -3.79203e-13 -2.52496e-07 0.491953 -8.39373e-07 -1.77397e-11 -1.59322e-06 -8.39372e-07 0.998018 2.61262e-05 3.37166e-12 2.2468e-11 -2.61262e-05 0.998018 5.11223e-07 -1.59268e-06 -7.67761e-13 -5.11221e-07 0.996042
0.2 3.82793e-05 0.493901 -1.65827e-06 -3.50469e-11 -7.86919e-07 -1.65827e-06 0.492922 1.29038e-05 6.66131e-12 4.4388e-11 -1.29038e-05 0.492922 1.00998e-06 -7.86654e-07 -1.51656e-12 -1.00998e-06 0.491947 -3.35749e-06 -7.09593e-11 -1.59327e-06 -3.35749e-06 0.998018 2.61263e-05 1.34871e-11 8.98723e-11 -2.61263e-05 0.998018 2.0449e-06 -1.59274e-06 -3.07056e-12 -2.0449e-06 0.996042
0.3 5.74188e-05 0.49389 -3.73101e-06 -7.88543e-11 -7.86947e-07 -3.73101e-06 0.492911 1.29036e-05 1.49885e-11 9.98716e-11 -1.29036e-05 0.492911 2.27242e-06 -7.86679e-07 -3.41134e-12 -2.27242e-06 0.491935 -7.55434e-06 -1.5966e-10 -1.59336e-06 -7.55433e-06 0.998018 2.61265e-05 3.03479e-11 2.02214e-10 -2.61265e-05 0.998018 4.60107e-06 -1.59282e-06 -6.90709e-12 -4.60105e-06 0.996042
0.4 7.65581e-05 0.493874 -6.63269e-06 -1.40182e-10 -7.86985e-07 -6.63268e-06 0.492895 1.29034e-05 2.66478e-11 1.77546e-10 -1.29034e-05 0.492895 4.03978e-06 -7.86715e-07 -6.06247e-12 -4.03977e-06 0.49192 -1.34299e-05 -2.83842e-10 -1.59349e-06 -1.34299e-05 0.998018 2.61268e-05 5.39566e-11 3.59496e-10 -2.61268e-05 0.998018 8.17978e-06 -1.59295e-06 -1.22753e-11 -8.17975e-06 0.996042
0.5 9.56972e-05 0.493854 -1.03631e-05 -2.19029e-10 -7.87034e-07 -1.03631e-05 0.492875 1.2903e-05 4.16401e-11 2.77408e-10 -1.2903e-05 0.492875 6.312e-06 -7.8676e-07 -9.46817e-12 -6.31198e-06 0.491899 -2.09842e-05 -4.4351e-10 -1.59366e-06 -2.09842e-05 0.998018 2.61272e-05 8.43166e-11 5.6172e-10 -2.61272e-05 0.998018 1.27811e-05 -1.5931e-06 -1.9172e-11 -1.27811e-05 0.996042
0.6 0.000114836 0.493829 -1.49221e-05 -3.15391e-10 -7.87094e-07 -1.49221e-05 0.49285 1.29026e-05 5.9967e-11 3.99454e-10 -1.29026e-05 0.49285 9.089e-06 -7.86816e-07 -1.36265e-11 -9.08896e-06 0.491875 -3.02171e-05 -6.38665e-10 -1.59386e-06 -3.02171e-05 0.998018 2.61276e-05 1.21433e-10 8.0889e-10 -2.61276e-05 0.998018 1.84051e-05 -1.59329e-06 -2.75935e-11 -1.84051e-05 0.996042
0.7 0.000133974 0.4938 -2.03094e-05 -4.29266e-10 -7.87165e-07 -2.03093e-05 0.492821 1.29021e-05 8.16302e-11 5.43679e-10 -1.29021e-05 0.492821 1.23707e-05 -7.86881e-07 -1.85347e-11 -1.23706e-05 0.491846 -4.11287e-05 -8.69311e-10 -1.5941e-06 -4.11287e-05 0.998018 2.61281e-05 1.6531e-10 1.10101e-09 -2.61281e-05 0.998018 2.5052e-05 -1.59352e-06 -3.75348e-11 -2.50519e-05 0.996042
0.8 0.000153112 0.493766 -2.65246e-05 -5.60648e-10 -7.87247e-07 -2.65245e-05 0.492787 1.29015e-05 1.06632e-10 7.10079e-10 -1.29015e-05 0.492787 1.61569e-05 -7.86957e-07 -2.41898e-11 -1.61569e-05 0.491812 -5.37189e-05 -1.13545e-09 -1.59437e-06 -5.37188e-05 0.998018 2.61287e-05 2.15956e-10 1.43809e-09 -2.61287e-05 0.998018 3.27218e-05 -1.59378e-06 -4.89904e-11 -3.27217e-05 0.996042
0.9 0.00017225 0.493728 -3.35674e-05 -7.09534e-10 -7.8734e-07 -3.35674e-05 0.492749 1.29008e-05 1.34974e-10 8.98648e-10 -1.29008e-05 0.492749 2.04476e-05 -7.87043e-07 -3.05884e-11 -2.04476e-05 0.491774 -6.79876e-05 -1.43709e-09 -1.59468e-06 -6.79875e-05 0.998017 2.61294e-05 2.73377e-10 1.82013e-09 -2.61294e-05 0.998017 4.14148e-05 -1.59408e-06 -6.19539e-11 -4.14146e-05 0.996042
