shape,ka,mesh_label,component,rel_l2,rel_l2_percent,pass10,status,bem_file,reference
пылевая частица,10.0,gmsh5200/6000,M11,0.0270045837531457,2.70045837531457,True,PASS,runs/production_matrix_15_complexop/dust_ka10_gmsh5200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,10.0,gmsh5200/6000,M12,0.0881868916932069,8.81868916932069,True,PASS,runs/production_matrix_15_complexop/dust_ka10_gmsh5200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,10.0,gmsh5200/6000,M34,0.0962459069520678,9.62459069520678,True,PASS,runs/production_matrix_15_complexop/dust_ka10_gmsh5200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,10.0,gmsh5200/6000,gate,0.0963678162048501,9.63678162048501,True,PASS,runs/production_matrix_15_complexop/dust_ka10_gmsh5200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,10.0,gmsh5200/6000,max main floor,0.0963678162048501,9.63678162048501,True,PASS,runs/production_matrix_15_complexop/dust_ka10_gmsh5200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,15.0,gmsh6000,M11,0.0424472662954077,4.244726629540771,True,PASS,runs/production_matrix_15_complexop/dust_ka15_gmsh6000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,15.0,gmsh6000,M12,0.059226268535348,5.9226268535348,True,PASS,runs/production_matrix_15_complexop/dust_ka15_gmsh6000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,15.0,gmsh6000,M34,0.0248826742391552,2.48826742391552,True,PASS,runs/production_matrix_15_complexop/dust_ka15_gmsh6000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,15.0,gmsh6000,gate,0.0609689463545794,6.096894635457939,True,PASS,runs/production_matrix_15_complexop/dust_ka15_gmsh6000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,15.0,gmsh6000,max main floor,0.0609689463545794,6.096894635457939,True,PASS,runs/production_matrix_15_complexop/dust_ka15_gmsh6000_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
пылевая частица,20.0,gmsh4200,M11,0.0557246346696077,5.5724634669607696,True,PASS,runs/production_matrix_15_complexop/dust_ka20_gmsh4200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
