shape,ka,mesh_ref,component,rel_l2,bem_theta_count,adda_theta_count,bem_m11_0,adda_m11_0,m11_0_ratio_bem_over_adda,rel_l2_global_s110,mean_abs_floor2_global_s110,bem_time_s,bem_ka,adda_ka_eq,ka_ratio_bem_over_adda,bem_file,adda_ocl_file
сфера,15.0,4,M11,0.0059259474481749164,181,182,19316.1948,19866.912293,0.9722796635492249,0.0059259474481749164,0.016672290102542696,32.27,15.0,15.0,1.0,runs/current_time_refresh/sphere_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/sphere_ka15/mueller
сфера,15.0,4,M12,0.3818170469921008,181,182,19316.1948,19866.912293,0.9722796635492249,0.40201551107432754,0.02401755064169146,32.27,15.0,15.0,1.0,runs/current_time_refresh/sphere_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/sphere_ka15/mueller
сфера,15.0,4,M22,0.00017149485321999583,181,182,19316.1948,19866.912293,0.9722796635492249,0.0059259387554438,0.016672881570324743,32.27,15.0,15.0,1.0,runs/current_time_refresh/sphere_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/sphere_ka15/mueller
сфера,15.0,4,M33,0.17276508457684753,181,182,19316.1948,19866.912293,0.9722796635492249,0.006882343001447247,0.01785931021822421,32.27,15.0,15.0,1.0,runs/current_time_refresh/sphere_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/sphere_ka15/mueller
сфера,15.0,4,M34,0.2705175540670153,181,182,19316.1948,19866.912293,0.9722796635492249,0.14265854969789069,0.02211811890516967,32.27,15.0,15.0,1.0,runs/current_time_refresh/sphere_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/sphere_ka15/mueller
сфера,15.0,4,M44,0.17276333909162686,181,182,19316.1948,19866.912293,0.9722796635492249,0.0068824828247582145,0.01786017557320914,32.27,15.0,15.0,1.0,runs/current_time_refresh/sphere_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/sphere_ka15/mueller
сфера,20.0,4,M11,0.003294768941247308,181,182,56335.0293,58139.769809,0.9689585886746902,0.003294768941247308,0.011956524536741614,62.35,20.0,20.0,1.0,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka20/mueller
сфера,20.0,4,M12,0.4184650352173318,181,182,56335.0293,58139.769809,0.9689585886746902,0.25181575266185,0.018343522436686046,62.35,20.0,20.0,1.0,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka20/mueller
сфера,20.0,4,M22,0.0009020307509037915,181,182,56335.0293,58139.769809,0.9689585886746902,0.0032948397842990093,0.011958459675488194,62.35,20.0,20.0,1.0,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka20/mueller
сфера,20.0,4,M33,0.3052630812843242,181,182,56335.0293,58139.769809,0.9689585886746902,0.0034228587808774157,0.012105153340167773,62.35,20.0,20.0,1.0,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka20/mueller
сфера,20.0,4,M34,0.2899286847137002,181,182,56335.0293,58139.769809,0.9689585886746902,0.10160468328188546,0.012065430313474951,62.35,20.0,20.0,1.0,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka20/mueller
сфера,20.0,4,M44,0.30569898827269565,181,182,56335.0293,58139.769809,0.9689585886746902,0.003423343229537311,0.01210745857393462,62.35,20.0,20.0,1.0,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka20/mueller
сфера,25.0,4,M11,0.0035525225568177263,181,182,113849.095,116055.80641,0.9809857733252555,0.0035525225568177263,0.012049291060619485,283.072,25.0,25.0,1.0,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka25/mueller
сфера,25.0,4,M12,0.5497386289616667,181,182,113849.095,116055.80641,0.9809857733252555,0.29206496816440275,0.00788738961047613,283.072,25.0,25.0,1.0,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka25/mueller
сфера,25.0,4,M22,0.0016929717090005574,181,182,113849.095,116055.80641,0.9809857733252555,0.003552440997555999,0.012046035517528484,283.072,25.0,25.0,1.0,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka25/mueller
сфера,25.0,4,M33,0.3662259735415733,181,182,113849.095,116055.80641,0.9809857733252555,0.003857421246009734,0.013460567919130114,283.072,25.0,25.0,1.0,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka25/mueller
сфера,25.0,4,M34,0.49281915740076115,181,182,113849.095,116055.80641,0.9809857733252555,0.22886558551457287,0.013002013665499296,283.072,25.0,25.0,1.0,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka25/mueller
сфера,25.0,4,M44,0.366520615737261,181,182,113849.095,116055.80641,0.9809857733252555,0.0038577816797636592,0.01346515963788455,283.072,25.0,25.0,1.0,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,runs/adda_ocl_benchmark_ext/sphere_ka25/mueller
гексагональная призма,15.0,4,M11,0.020048502931720513,181,182,24303.426,25474.896201,0.9540147213257727,0.020048502931720513,0.033047604671774644,39.69,15.0,15.0,1.0,runs/poster_full181_fix/hex_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/hex_ka15/mueller
гексагональная призма,15.0,4,M12,1.1251600664239205,181,182,24303.426,25474.896201,0.9540147213257727,0.3455294031202918,0.014713400034712188,39.69,15.0,15.0,1.0,runs/poster_full181_fix/hex_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/hex_ka15/mueller
гексагональная призма,15.0,4,M22,0.016167965696063203,181,182,24303.426,25474.896201,0.9540147213257727,0.02004333524279362,0.03306059085100704,39.69,15.0,15.0,1.0,runs/poster_full181_fix/hex_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/hex_ka15/mueller
гексагональная призма,15.0,4,M33,0.4228165108166722,181,182,24303.426,25474.896201,0.9540147213257727,0.019912067286223346,0.033000494206869825,39.69,15.0,15.0,1.0,runs/poster_full181_fix/hex_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/hex_ka15/mueller
гексагональная призма,15.0,4,M34,1.4368408818478908,181,182,24303.426,25474.896201,0.9540147213257727,0.6254293038632245,0.026437233575141415,39.69,15.0,15.0,1.0,runs/poster_full181_fix/hex_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/hex_ka15/mueller
гексагональная призма,15.0,4,M44,0.4226767686462678,181,182,24303.426,25474.896201,0.9540147213257727,0.019917027722105424,0.03298515761381856,39.69,15.0,15.0,1.0,runs/poster_full181_fix/hex_ka15_ref4_n181.json,runs/adda_ocl_benchmark_ext/hex_ka15/mueller
